Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
80,,10,250407,252109,438,565
80,,10,251443,254600,432,570
80,,10,252266,253799,443,559
80,,10,254233,256002,423,578
80,,10,254382,255734,422,580
80,,10,254532,256251,420,582
80,,10,254747,256094,429,572
80,,10,254966,257278,424,578
80,,10,255200,256459,412,590
80,,10,256443,257229,427,574
80,,10,256713,257048,421,581
80,,10,257276,258384,429,573
80,,10,257286,259552,413,588
80,,10,257367,259970,404,598
80,,10,257525,259932,411,591
80,,10,257746,259822,410,591
80,,10,258208,260151,416,586
80,,10,258208,259366,422,580
80,,10,258325,259632,426,576
80,,10,258357,259521,417,584
80,,10,258375,259511,405,596
80,,10,258798,259769,397,604
80,,10,258854,260251,408,594
80,,10,258885,259901,409,592
80,,10,258890,259696,418,583
80,,10,258946,260292,419,583
80,,10,259015,261083,414,588
80,,10,259385,260780,402,600
80,,10,259671,260615,419,583
80,,10,259788,262895,418,585
80,,10,259820,261704,408,593
80,,10,259915,264538,406,596
80,,10,259928,261442,408,593
80,,10,260269,260875,404,597
80,,10,260331,263884,419,586
80,,10,260354,260749,412,589
80,,10,260627,262682,390,611
80,,10,260632,261712,406,596
80,,10,260726,262210,407,594
80,,10,260848,263175,397,604
80,,10,260868,263318,390,611
80,,10,260891,261951,412,589
80,,10,260941,262684,415,588
80,,10,261360,264426,401,603
80,,10,261420,262701,398,603
80,,10,261438,262751,404,598
80,,10,261499,264944,388,614
80,,10,262029,263141,397,604
80,,10,262072,262564,401,601
80,,10,262137,263701,392,609
80,,10,262145,265047,399,602
80,,10,262196,262568,408,594
80,,10,262217,263034,406,599
80,,10,262256,263915,400,601
80,,10,262357,262867,404,598
80,,10,262854,267814,384,618
80,,10,262906,264409,408,593
80,,10,262989,264266,402,602
80,,10,263036,263560,411,590
80,,10,263234,264145,408,594
80,,10,263603,265514,404,598
80,,10,263622,265317,400,601
80,,10,263625,268950,403,598
80,,10,263633,263799,389,612
80,,10,263760,264150,397,604
80,,10,264174,266574,389,612
80,,10,264259,265502,403,598
80,,10,264333,267543,402,599
80,,10,264537,265912,394,607
80,,10,264556,265550,405,597
80,,10,264677,265789,402,599
80,,10,265026,267305,403,599
80,,10,265041,265661,392,611
80,,10,265394,265841,409,593
80,,10,265815,266935,390,611
80,,10,265866,268867,394,607
80,,10,265866,266393,396,605
80,,10,266019,267427,401,602
80,,10,266035,267766,389,612
80,,10,266218,269236,381,621
80,,10,267083,269077,387,614
80,,10,267117,269360,401,601
80,,10,267992,269574,393,608
80,,10,268217,269850,395,606
80,,10,268365,270591,383,620
80,,10,268511,268804,387,615
80,,10,268633,269428,385,618
80,,10,268796,269405,390,611
80,,10,268864,269497,385,617
80,,10,269696,272091,392,609
80,,10,269716,270766,364,637
80,,10,270630,270752,379,622
80,,10,271103,272396,370,632
80,,10,271945,273984,384,617
80,,10,271991,272181,374,627
80,,10,272124,273464,367,635
80,,10,275264,276084,363,639
,,,,,,
AVERAGE ,,,,,,
80,,10,262192.144329897,263792.144329897,402.8350515464,598.8453608247
