Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,2,0,0,30000,2,12
8,2,0,0,35688,3,13
8,2,0,0,30000,2,12
8,2,0,0,30000,2,12
8,2,0,0,57557,5,15
8,2,0,0,60000,5,15
8,2,0,0,60686,8,18
8,2,0,0,60000,5,15
8,2,0,0,90000,11,21
8,2,0,0,60000,6,16
8,2,0,0,60000,6,16
8,2,0,0,60000,6,16
8,2,0,0,60000,6,16
8,2,0,0,60000,7,17
8,2,0,0,89228,12,22
8,2,0,0,60000,6,16
8,2,0,0,82631,10,20
8,2,0,0,68178,8,18
8,2,0,0,60000,6,16
8,2,0,0,87088,13,23
8,2,0,0,69268,9,19
8,2,0,0,60000,5,15
8,2,0,0,95575,13,23
8,2,0,0,89560,13,23
8,2,0,0,60000,5,15
8,2,0,0,90000,12,22
8,2,0,0,78535,11,21
8,2,0,0,126132,20,30
8,2,0,0,103185,18,28
8,2,0,0,116701,19,29
8,2,0,0,92721,13,23
8,2,0,0,90000,12,22
8,2,0,0,94920,14,24
8,2,0,0,107621,17,27
8,2,0,0,121885,19,28
8,2,0,0,120038,19,29
8,2,0,0,147265,25,35
8,2,0,0,145713,23,33
8,2,0,0,139648,25,35
8,2,0,0,170082,29,39
8,2,0,0,133012,22,32
8,2,0,0,167690,28,38
8,2,0,0,168338,29,39
8,2,0,0,180192,31,41
8,2,0,0,197286,34,43
8,2,0,0,221256,40,50
8,2,0,0,302430,55,65
8,2,0,0,30000,2,12
8,2,0,0,78791,10,20
8,2,0,0,60000,6,16
8,2,0,0,60000,6,16
8,2,0,0,60000,6,16
8,2,0,0,91106,15,25
8,2,0,0,30000,2,12
8,2,0,0,30000,1,11
8,2,0,0,30000,1,11
8,2,0,0,30000,1,11
8,2,0,0,30000,1,11
8,2,0,0,53472,5,15
8,2,0,0,30000,2,12
8,2,0,0,52053,5,15
8,2,0,0,30000,1,11
8,2,0,0,30000,1,11
8,2,0,0,60000,7,17
8,2,0,0,60000,6,16
8,2,0,0,67011,12,22
8,2,0,0,60000,6,16
8,2,0,0,60000,7,17
8,2,0,0,60000,7,17
8,2,0,0,60000,7,17
8,2,0,0,62337,9,19
8,2,0,0,83209,11,21
8,2,0,0,60607,8,18
8,2,0,0,71858,11,21
8,2,0,0,60000,7,17
8,2,0,0,90000,12,22
8,2,0,0,104326,15,25
8,2,0,0,90000,12,22
8,2,0,0,101262,15,25
8,2,0,0,102541,18,27
8,2,0,0,97157,14,24
8,2,0,0,101957,16,26
8,2,0,0,90000,12,22
8,2,0,0,90000,12,22
8,2,0,0,90000,13,23
8,2,0,0,105617,16,26
8,2,0,0,120563,19,29
8,2,0,0,148959,24,34
8,2,0,0,143947,23,33
8,2,0,0,90000,13,23
8,2,0,0,107120,16,26
8,2,0,0,190623,32,42
8,2,0,0,276588,51,61
8,2,0,0,123404,20,30
8,2,0,0,141289,25,34
8,2,0,0,143834,24,33
8,2,0,0,164523,30,40
8,2,0,0,235779,40,50
8,2,0,0,175212,32,40
8,2,0,0,211826,37,45
8,2,0,0,196876,36,45
8,2,0,0,214678,41,51
8,2,0,0,243546,41,51
8,2,0,0,271561,46,55
8,2,0,0,261175,48,58
8,2,0,0,310629,53,62
8,2,0,0,433435,82,92
8,2,0,0,98077,12,22
8,2,0,0,60000,7,17
8,2,0,0,30000,2,12
8,2,0,0,176390,31,41
8,2,0,0,30000,2,12
8,2,0,0,60000,7,17
8,2,0,0,60000,7,17
8,2,0,0,47876,4,14
8,2,0,0,30572,3,13
8,2,0,0,34187,4,14
8,2,0,0,155054,27,37
8,2,0,0,60000,8,18
8,2,0,0,30000,2,12
8,2,0,0,30000,2,12
8,2,0,0,81724,11,21
8,2,0,0,53673,5,15
8,2,0,0,47999,4,14
8,2,0,0,56173,5,15
8,2,0,0,30000,1,11
8,2,0,0,30000,1,11
8,2,0,0,65281,8,18
8,2,0,0,69557,9,19
8,2,0,0,60000,8,18
8,2,0,0,60000,7,17
8,2,0,0,170274,28,37
8,2,0,0,60000,7,17
8,2,0,0,73492,9,19
8,2,0,0,44328,4,14
8,2,0,0,60519,9,19
8,2,0,0,91353,14,24
8,2,0,0,60000,8,18
8,2,0,0,57003,4,14
8,2,0,0,30000,1,11
8,2,0,0,60000,7,17
8,2,0,0,60000,7,17
8,2,0,0,60000,7,17
8,2,0,0,41386,4,14
8,2,0,0,32124,3,13
8,2,0,0,120000,18,28
8,2,0,0,60000,6,16
8,2,0,0,75779,10,20
8,2,0,0,63198,9,19
8,2,0,0,60000,8,18
8,2,0,0,74316,11,21
8,2,0,0,103170,14,24
8,2,0,0,92045,15,23
8,2,0,0,90000,12,21
8,2,0,0,165045,26,36
8,2,0,0,100270,16,26
8,2,0,0,132772,22,32
8,2,0,0,135840,23,33
8,2,0,0,144203,21,31
8,2,0,0,68354,10,20
8,2,0,0,143171,21,31
,,,,,,
8,2,0,0,95864.5031055901,14.1055900621,24.0062111801
