Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,29,32480,656066,501,0,
8,100,26,25473,673008,502,0,
8,100,30,38450,607372,502,0,
8,100,26,22926,598967,501,0,
8,100,29,30581,630774,501,0,
8,100,37,44576,636524,502,0,
8,100,23,25524,656393,501,0,
8,100,28,31259,641231,501,0,
8,100,25,25956,654527,501,0,
8,100,33,39641,644135,501,0,
8,100,27,28942,615905,503,0,
8,100,30,37937,659007,501,0,
8,100,26,31879,660078,501,0,
8,100,26,27204,601783,501,0,
8,100,29,28187,629940,501,0,
8,100,28,42930,667955,502,0,
8,100,30,29612,627420,501,0,
8,100,33,27580,650705,501,0,
8,100,29,29996,626065,502,0,
8,100,30,27712,711732,501,0,
8,100,29,28324,597577,501,0,
8,100,25,18830,609314,502,0,
8,100,28,37451,611263,501,0,
8,100,27,45722,615051,501,0,
8,100,30,29563,615781,501,0,
8,100,26,25835,622337,501,0,
8,100,26,36734,641544,501,0,
8,100,31,22858,626894,502,0,
8,100,29,28073,604746,503,0,
8,100,25,29347,630314,501,0,
8,100,20,19290,632233,501,0,
8,100,27,19970,612952,502,0,
8,100,26,24679,625185,501,0,
8,100,28,29746,623185,501,0,
8,100,26,25992,642372,502,0,
8,100,34,35812,633715,502,0,
8,100,34,40043,629159,503,0,
8,100,26,29856,630604,501,0,
8,100,26,29850,664879,501,0,
8,100,28,31321,639986,502,0,
8,100,28,25622,607289,501,0,
8,100,30,27626,634993,501,0,
8,100,25,27951,648523,501,0,
8,100,27,22991,631648,502,0,
8,100,32,34756,645668,502,0,
8,100,31,30858,639703,501,0,
8,100,30,27533,626234,502,0,
8,100,28,18605,648436,502,0,
8,100,31,30340,638127,501,0,
8,100,24,27366,621645,501,0,
8,100,27,30853,644369,504,0,
8,100,28,33156,680326,501,0,
8,100,27,38571,665114,501,0,
8,100,26,24429,600101,501,0,
8,100,27,23149,647558,501,0,
8,100,24,23428,636141,501,0,
8,100,32,39639,619361,502,0,
8,100,29,36562,653785,501,0,
8,100,31,43143,635439,501,0,
8,100,26,24530,619490,503,0,
8,100,33,36521,653838,501,0,
8,100,27,31923,662557,501,0,
8,100,24,20392,644421,502,0,
8,100,25,23811,648359,503,0,
8,100,27,23578,658931,504,0,
8,100,31,36304,659029,502,0,
8,100,28,28629,642303,501,0,
8,100,33,27943,641786,501,0,
8,100,28,22029,644569,504,0,
8,100,29,26077,643532,502,0,
8,100,25,33697,657141,501,0,
8,100,26,22510,644614,501,0,
8,100,26,31258,659789,501,0,
8,100,26,29972,670876,501,0,
8,100,29,24664,652034,501,0,
8,100,29,19170,630455,502,0,
8,100,28,29809,623272,501,0,
8,100,29,23029,615475,503,0,
8,100,29,31951,651309,501,0,
8,100,28,16425,661946,501,0,
8,100,31,30096,644093,501,0,
8,100,28,34741,633319,501,0,
8,100,31,32702,654016,504,0,
8,100,31,31676,633485,502,0,
8,100,27,31656,668808,501,0,
8,100,21,17749,622780,501,0,
8,100,24,27422,648119,502,0,
8,100,30,33721,658613,501,0,
8,100,26,24052,644338,501,0,
8,100,29,29399,644847,502,0,
8,100,28,29460,643254,501,0,
8,100,25,22496,700291,501,0,
8,100,26,32152,656201,501,0,
8,100,28,37071,672364,501,0,
8,100,29,34596,678421,501,0,
8,100,25,18563,632112,501,0,
8,100,29,30718,636572,501,0,
8,100,28,36614,677705,501,0,
8,100,25,23831,670161,501,0,
8,100,25,33048,670997,501,0,
8,100,30,30084,724202,501,0,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,27.9603960396,29413.7425742574,642411.504950495,501.4653465347,0,0
