Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,322,396622,6367218,5001,0,
8,100,312,377150,6378995,5001,0,
8,100,310,393956,6395818,5001,0,
8,100,319,415251,6601350,5001,0,
8,100,314,371842,6367157,5002,0,
8,100,331,414962,6461391,5002,0,
8,100,311,383265,6362827,5001,0,
8,100,299,397138,6445548,5001,0,
8,100,311,399040,6487731,5001,0,
8,100,325,453007,6360707,5002,0,
8,100,341,420209,6421857,5001,0,
8,100,342,424386,6349271,5001,0,
8,100,299,407313,6419849,5001,0,
8,100,339,427374,6503423,5002,0,
8,100,344,427268,6379841,5001,0,
8,100,315,374682,6521969,5002,0,
8,100,330,377676,6376184,5001,0,
8,100,341,451271,6391290,5001,0,
8,100,353,499890,6429184,5001,0,
8,100,346,429922,6487461,5003,0,
8,100,320,389396,6423873,5002,0,
8,100,327,398171,6345606,5001,0,
8,100,330,422479,6466497,5002,0,
8,100,334,423979,6454804,5002,0,
8,100,340,409488,6353210,5002,0,
8,100,340,436972,6474885,5001,0,
8,100,347,470596,6369349,5002,0,
8,100,331,454970,6546916,5001,0,
8,100,340,427849,6357364,5001,0,
8,100,339,434316,6453237,5001,0,
8,100,320,407297,6449646,5001,0,
8,100,339,430116,6526747,5002,0,
8,100,365,504969,6353322,5001,0,
8,100,350,464311,6453044,5001,0,
8,100,347,429902,6403215,5003,0,
8,100,350,442164,6397452,5001,0,
8,100,337,402679,6398757,5003,0,
8,100,364,458392,6382380,5001,0,
8,100,335,431843,6515295,5002,0,
8,100,354,466154,6466813,5001,0,
8,100,363,439085,6366990,5002,0,
8,100,344,459417,6481941,5001,0,
8,100,345,438979,6511655,5002,0,
8,100,343,436220,6474601,5002,0,
8,100,370,458507,6451177,5001,0,
8,100,353,451599,6593982,5001,0,
8,100,349,462944,6430655,5002,0,
8,100,337,423076,6425398,5001,0,
8,100,367,479084,6489092,5004,0,
8,100,370,491516,6531981,5001,0,
8,100,288,338686,6447277,5001,0,
8,100,311,365436,6514594,5002,0,
8,100,317,376159,6375427,5001,0,
8,100,312,401292,6373672,5001,0,
8,100,321,394604,6377256,5001,0,
8,100,315,426705,6556880,5002,0,
8,100,311,381766,6373950,5001,0,
8,100,312,440654,6393068,5001,0,
8,100,319,397492,6485337,5001,0,
8,100,322,401986,6324247,5001,0,
8,100,332,401048,6346379,5001,0,
8,100,319,427752,6525802,5002,0,
8,100,321,412098,6392758,5001,0,
8,100,328,428985,6581335,5003,0,
8,100,318,416151,6395606,5003,0,
8,100,352,446767,6302162,5002,0,
8,100,343,426023,6344334,5004,0,
8,100,323,418586,6602385,5002,0,
8,100,329,399319,6484425,5001,0,
8,100,341,395499,6301439,5001,0,
8,100,334,407496,6454906,5001,0,
8,100,328,422749,6414001,5001,0,
8,100,335,426003,6493601,5001,0,
8,100,346,405900,6418345,5002,0,
8,100,341,436090,6365069,5001,0,
8,100,322,405352,6418034,5002,0,
8,100,330,449502,6446398,5001,0,
8,100,328,422660,6509639,5001,0,
8,100,340,427907,6489539,5001,0,
8,100,343,422564,6364037,5001,0,
8,100,346,460515,6481687,5001,0,
8,100,343,440775,6463202,5001,0,
8,100,349,458877,6629774,5002,0,
8,100,341,428072,6509996,5001,0,
8,100,345,408002,6417235,5001,0,
8,100,347,459715,6480849,5001,0,
8,100,353,434744,6422667,5001,0,
8,100,350,413840,6428740,5001,0,
8,100,345,462649,6473347,5001,0,
8,100,366,479036,6460004,5002,0,
8,100,342,461798,6567691,5002,0,
8,100,365,452638,6423276,5002,0,
8,100,352,467397,6448575,5003,0,
8,100,364,436784,6433155,5001,0,
8,100,382,480725,6507194,5005,0,
8,100,368,498345,6529823,5001,0,
8,100,364,493075,6559790,5001,0,
8,100,366,465097,6484939,5001,0,
8,100,374,472692,6484242,5001,0,
8,100,355,424739,6505264,5003,0,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,337.52,429114.4,6444423.07,5001.51,0,0
