Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
8,100,1453,4017380,27820116,3969,6032
8,100,1506,4076706,27469313,4037,5965
8,100,1518,4217638,27491133,4066,5935
8,100,1552,4193496,27588687,3955,6046
8,100,1574,4290799,27432068,4062,5939
8,100,1576,4295008,27518462,4078,5924
8,100,1586,4362875,27809566,3907,6096
8,100,1602,4408115,27702980,4001,6000
8,100,1608,4440409,27553212,4056,5945
8,100,1611,4463839,27678124,4031,5970
8,100,1619,4402659,27701111,4005,5996
8,100,1626,4437685,27284354,4099,5902
8,100,1627,4451236,27474427,4041,5960
8,100,1629,4528358,27842537,3950,6051
8,100,1629,4492036,27641592,4042,5959
8,100,1632,4531721,27625976,4005,5998
8,100,1634,4457593,27547319,4018,5983
8,100,1634,4562098,27805495,4000,6003
8,100,1634,4482639,27691017,3989,6012
8,100,1639,4380234,27365454,4065,5936
8,100,1643,4585350,27624041,4047,5955
8,100,1649,4541131,27624241,4008,5993
8,100,1650,4488924,27630118,3995,6006
8,100,1651,4490466,27497604,4057,5944
8,100,1652,4493049,27624991,4035,5967
8,100,1652,4537765,27617591,4011,5991
8,100,1655,4515761,27808237,3950,6051
8,100,1656,4454316,27458632,4034,5967
8,100,1657,4548956,27748046,3978,6023
8,100,1658,4550749,27570244,4006,5995
8,100,1658,4398556,27505866,4060,5942
8,100,1660,4622376,27825053,3977,6024
8,100,1664,4601974,27648689,4030,5972
8,100,1667,4556662,27986853,3913,6088
8,100,1668,4602129,27659379,4009,5993
8,100,1673,4690844,27700298,4016,5986
8,100,1674,4619120,27619642,4026,5975
8,100,1674,4638900,27731779,4028,5973
8,100,1682,4683371,27505238,3998,6004
8,100,1685,4637127,27621477,3987,6016
8,100,1689,4665434,27562685,4039,5966
8,100,1689,4739816,27452449,4074,5927
8,100,1691,4667322,27550043,4018,5983
8,100,1692,4681009,27484717,4083,5918
8,100,1694,4740336,28056743,3857,6144
8,100,1696,4771640,27778896,3972,6030
8,100,1697,4594565,27429692,4075,5928
8,100,1702,4712029,27621954,4022,5979
8,100,1705,4701488,27566957,4057,5944
8,100,1706,4719360,27332298,4091,5910
8,100,1710,4772938,27751270,4007,5995
8,100,1713,4777063,27470289,4092,5909
8,100,1715,4770445,27952220,3888,6114
8,100,1715,4740189,27623103,3998,6003
8,100,1716,4795022,27891275,3931,6071
8,100,1716,4724393,27485845,4036,5965
8,100,1719,4740586,27656464,4013,5988
8,100,1720,4621249,27598684,4041,5961
8,100,1730,4738330,27636351,3953,6050
8,100,1730,4796181,27683598,4001,6000
8,100,1731,4760789,27617300,3992,6010
8,100,1731,4791036,27822770,3948,6053
8,100,1731,4739446,27442450,4067,5934
8,100,1733,4827193,27517198,4023,5980
8,100,1737,4783273,27616976,4028,5975
8,100,1737,4830102,27841236,3975,6027
8,100,1739,4743856,27721491,3998,6003
8,100,1740,4816670,27601433,4029,5972
8,100,1740,4804487,27549483,4033,5968
8,100,1741,4850273,27698353,3966,6036
8,100,1742,4897452,27905470,3925,6077
8,100,1742,4872494,27859664,3941,6060
8,100,1743,4844155,27612686,3974,6027
8,100,1743,4900479,27667998,3992,6009
8,100,1745,4891039,27662411,3987,6014
8,100,1746,4783792,27638383,4014,5987
8,100,1749,4909433,27677247,4006,5995
8,100,1750,4839617,27676521,4025,5977
8,100,1752,4761655,27563833,4025,5976
8,100,1753,4867838,27495672,4034,5967
8,100,1754,4808665,27491336,4019,5983
8,100,1757,4881811,27679220,3998,6003
8,100,1759,4874062,27537252,4047,5954
8,100,1759,4941882,27767245,3974,6028
8,100,1761,4990147,27661919,3973,6028
8,100,1764,4832097,27784461,3947,6054
8,100,1768,4786387,27450963,4095,5906
8,100,1770,4954206,27670110,4025,5977
8,100,1773,4889160,27499140,4056,5947
8,100,1774,4889697,27786515,4018,5983
8,100,1784,4945313,27727381,3999,6002
8,100,1785,4987617,27588600,4070,5931
8,100,1790,5065931,27671470,4009,5992
8,100,1792,4983258,27490048,4044,5957
8,100,1794,5017459,27839656,3970,6031
8,100,1799,4944760,27780506,3982,6019
8,100,1801,5022575,27808914,3985,6019
8,100,1811,5067844,27936328,3991,6010
8,100,1814,4938262,27639874,3988,6013
8,100,1819,5075233,27619793,4019,5982
8,100,1827,5183573,27735066,3990,6011
8,100,1832,5107030,27526670,4059,5944
8,100,1847,5170367,27799221,3964,6038
8,100,1904,5357951,27799810,3922,6080
8,100,1907,5362107,27734453,3969,6032
,,,,,,
8,100,1705.0666666667,4712494.45714286,27646200.2,4008.4190476191,5993.0761904762
