Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,196,670089,1830111,36,469,
8,100,208,732728,1826046,31,473,
8,100,212,750000,1807658,35,467,
8,100,212,742365,1830000,30,472,
8,100,213,736999,1851964,35,473,
8,100,223,788647,1846746,33,478,
8,100,223,784544,1841827,29,472,
8,100,224,778090,1828514,36,470,
8,100,236,833979,1842162,31,470,
8,100,237,836347,1810820,30,473,
8,100,239,842609,1833868,30,476,
8,100,244,864719,1815329,33,472,
8,100,248,883643,1924828,32,475,
8,100,254,900000,2044209,34,468,
8,100,256,924056,1840036,32,469,
8,100,256,910560,1841779,29,478,
8,100,257,905466,1841554,25,480,
8,100,258,917027,2095048,35,468,
8,100,262,937729,1837169,24,479,
8,100,263,940289,1896996,31,473,
8,100,269,951535,1821887,28,480,
8,100,270,974559,1943158,24,478,
8,100,270,972922,1860555,23,483,
8,100,271,963994,1883688,30,478,
8,100,272,968252,1822997,24,480,
8,100,273,972435,1894715,23,484,
8,100,274,979831,2081159,23,481,
8,100,274,967947,1827590,29,473,
8,100,276,989898,1920000,26,484,
8,100,276,992981,1910685,26,478,
8,100,277,993307,1939438,28,477,
8,100,277,990000,1832326,29,477,
8,100,278,991503,1904666,26,478,
8,100,279,992650,2032637,32,475,
8,100,282,1003326,1802338,28,474,
8,100,283,1006332,1828419,32,473,
8,100,283,1020000,1838129,29,474,
8,100,286,1020000,1882460,27,484,
8,100,287,1020584,1824451,29,478,
8,100,288,1027612,1890000,29,482,
8,100,291,1042459,1845590,27,480,
8,100,292,1048897,1913580,33,477,
8,100,293,1050000,1997913,29,480,
8,100,298,1065567,1884278,23,482,
8,100,300,1080000,1823232,26,477,
8,100,300,1078575,1941172,22,482,
8,100,303,1078172,1821600,25,481,
8,100,309,1110500,1811309,30,475,
8,100,312,1118688,1838799,27,480,
8,100,312,1108206,1883391,26,489,
8,100,312,1115454,2048036,26,479,
8,100,314,1126069,1802776,25,476,
8,100,314,1116330,1806605,29,473,
8,100,314,1122773,1917489,25,479,
8,100,316,1140000,1929430,20,486,
8,100,318,1140000,1806549,22,482,
8,100,319,1147531,1884771,21,483,
8,100,321,1150700,1902040,22,488,
8,100,322,1158443,1844286,28,478,
8,100,322,1153010,1862266,28,484,
8,100,322,1157947,1809772,26,475,
8,100,325,1170000,1845437,21,482,
8,100,327,1178531,1901057,27,479,
8,100,327,1171929,1851378,22,485,
8,100,328,1184386,1857260,19,483,
8,100,329,1184813,1844778,21,486,
8,100,329,1197505,1909309,24,485,
8,100,329,1195194,1907743,30,479,
8,100,330,1196820,1861704,23,484,
8,100,342,1238157,2229837,26,484,
8,100,357,1289176,1830592,26,480,
8,100,359,1294776,1847383,22,488,
8,100,360,1304180,1909511,25,483,
8,100,370,1339717,1936488,24,480,
8,100,371,1355435,2053318,18,490,
8,100,371,1334843,1860000,23,488,
8,100,380,1380525,1875951,22,481,
8,100,385,1390410,1819723,23,480,
8,100,386,1405994,1886589,24,490,
8,100,392,1427379,1835912,19,482,
8,100,401,1449408,1936335,20,494,
8,100,404,1474026,1984699,22,491,
8,100,408,1483839,1893054,22,488,
8,100,415,1509998,1831442,17,484,
8,100,441,1609730,1911191,15,489,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,300.4235294118,1077125.24705882,1882629.84705882,26.4823529412,479.3764705882,0.2892561983
