Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,3604,5171501,7210138,290,4713,
20,100,3610,5185880,7217952,278,4723,
20,100,3680,5291923,7209371,285,4716,
20,100,3737,5378471,7223758,278,4724,
20,100,3812,5500865,7241164,264,4738,
20,100,3824,5518814,7326118,271,4731,
20,100,3832,5524372,7212685,284,4720,
20,100,3874,5574137,7215709,271,4731,
20,100,3892,5624745,7229557,265,4736,
20,100,3904,5638788,7256575,262,4739,
20,100,3911,5651168,7245879,272,4735,
20,100,3914,5647900,7232826,272,4734,
20,100,3919,5651354,7231186,260,4742,
20,100,3925,5664649,7256826,273,4733,
20,100,3935,5676027,7263091,256,4746,
20,100,3978,5750240,7348054,265,4739,
20,100,3982,5746128,7225561,274,4728,
20,100,3987,5764625,7241799,259,4743,
20,100,3988,5762098,7290058,261,4740,
20,100,3996,5755382,7225170,274,4727,
20,100,4007,5785965,7207056,283,4718,
20,100,4015,5780528,7230599,271,4730,
20,100,4021,5795383,7311745,257,4744,
20,100,4037,5828063,7322586,238,4763,
20,100,4045,5842486,7252894,262,4739,
20,100,4078,5890273,7241344,267,4735,
20,100,4080,5879244,7241283,250,4755,
20,100,4083,5905222,7239048,252,4749,
20,100,4088,5910223,7238971,253,4748,
20,100,4091,5888316,7212382,273,4732,
20,100,4092,5919968,7247815,260,4746,
20,100,4098,5921771,7250306,260,4743,
20,100,4105,5946064,7294703,264,4738,
20,100,4109,5936252,7255783,263,4740,
20,100,4111,5943676,7329396,261,4742,
20,100,4113,5942702,7261389,260,4742,
20,100,4113,5949103,7249792,248,4756,
20,100,4115,5941476,7239987,259,4743,
20,100,4125,5972092,7249116,245,4756,
20,100,4126,5965002,7243476,247,4754,
20,100,4127,5963295,7237313,263,4743,
20,100,4128,5968496,7232951,270,4733,
20,100,4142,5985660,7237663,263,4738,
20,100,4146,5999892,7237868,266,4737,
20,100,4165,6018818,7242225,261,4742,
20,100,4170,6048551,7269576,247,4755,
20,100,4171,6030990,7274835,256,4746,
20,100,4175,6055708,7283566,242,4760,
20,100,4195,6085849,7302893,238,4763,
20,100,4199,6069029,7249033,248,4753,
20,100,4201,6068935,7229305,258,4743,
20,100,4204,6070206,7325331,274,4728,
20,100,4230,6136682,7253875,256,4745,
20,100,4232,6127615,7267488,244,4759,
20,100,4234,6135004,7261058,248,4753,
20,100,4235,6129601,7351408,255,4751,
20,100,4235,6143198,7258447,241,4760,
20,100,4244,6142931,7268030,247,4754,
20,100,4245,6146934,7305916,245,4759,
20,100,4258,6168853,7258683,241,4760,
20,100,4260,6159028,7271985,259,4742,
20,100,4263,6165116,7253778,245,4756,
20,100,4271,6181536,7268090,247,4755,
20,100,4274,6209259,7345944,251,4753,
20,100,4279,6193166,7247945,255,4748,
20,100,4281,6206550,7252527,244,4757,
20,100,4292,6209353,7242075,255,4747,
20,100,4304,6235610,7280936,247,4754,
20,100,4312,6250979,7301647,238,4766,
20,100,4313,6239005,7263564,255,4746,
20,100,4315,6256440,7262167,251,4751,
20,100,4325,6251720,7377378,235,4766,
20,100,4325,6261051,7262424,251,4751,
20,100,4325,6264146,7311044,248,4754,
20,100,4326,6273859,7271498,249,4753,
20,100,4327,6262469,7256375,257,4745,
20,100,4334,6275643,7291116,244,4757,
20,100,4349,6308356,7264979,250,4751,
20,100,4349,6303638,7285495,256,4747,
20,100,4350,6298374,7286472,243,4758,
20,100,4350,6309776,7263120,239,4762,
20,100,4351,6304874,7325969,238,4763,
20,100,4354,6312656,7251375,245,4758,
20,100,4359,6314343,7237161,255,4747,
20,100,4364,6312297,7281551,242,4762,
20,100,4370,6326850,7283138,249,4755,
20,100,4379,6335699,7247362,237,4766,
20,100,4394,6363385,7259800,237,4766,
20,100,4398,6382541,7296198,249,4754,
20,100,4399,6368071,7334685,246,4756,
20,100,4412,6392450,7271141,237,4768,
20,100,4417,6411786,7236499,243,4759,
20,100,4424,6408550,7290949,243,4758,
20,100,4426,6414795,7268180,244,4760,
20,100,4426,6425202,7266353,244,4760,
20,100,4434,6423081,7274983,250,4753,
20,100,4436,6434981,7251313,244,4757,
20,100,4439,6438654,7267931,247,4756,
20,100,4451,6447465,7326060,244,4759,
20,100,4455,6445261,7249539,251,4750,
20,100,4458,6462272,7271264,247,4757,
20,100,4458,6441718,7244957,253,4751,
20,100,4462,6454689,7245692,242,4760,
20,100,4469,6483604,7274574,240,4762,
20,100,4486,6494610,7293047,234,4769,
20,100,4491,6513911,7268564,249,4753,
20,100,4511,6548912,7287402,227,4775,
20,100,4514,6561316,7275225,235,4767,
20,100,4547,6591282,7282888,238,4764,
20,100,4572,6633131,7261902,237,4764,
20,100,4583,6665117,7291691,219,4783,
