Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,0,0,150000,1,108,
20,100,0,0,14553429,455,9544,
20,100,8697,12567111,14607415,539,9463,
20,100,8740,12632117,14492849,532,9469,
20,100,8984,13004258,14489202,510,9493,
20,100,8989,12996010,14523507,531,9470,
20,100,9014,13012011,14482312,538,9463,
20,100,9075,13137577,14489528,520,9483,
20,100,9101,13178976,14484380,523,9478,
20,100,9186,13292839,14521638,525,9477,
20,100,9281,13428475,14503215,518,9483,
20,100,9282,13423058,14503504,504,9499,
20,100,9308,13479540,14580414,524,9478,
20,100,9329,13508108,14505787,516,9486,
20,100,9356,13535260,14489842,513,9489,
20,100,9374,13606120,14566231,491,9510,
20,100,9404,13598879,14469230,532,9469,
20,100,9421,13628488,14463176,536,9465,
20,100,9428,13665004,14519798,497,9504,
20,100,9435,13674111,14506651,511,9490,
20,100,9443,13687702,14520725,491,9510,
20,100,9471,13726269,14538265,492,9509,
20,100,9473,13743632,14514156,500,9503,
20,100,9506,13760577,14503837,500,9502,
20,100,9523,13817944,14508157,497,9505,
20,100,9536,13822217,14503865,492,9509,
20,100,9545,13846654,14526701,490,9511,
20,100,9576,13902733,14529165,506,9497,
20,100,9588,13917559,14542392,495,9506,
20,100,9609,13918882,14509361,497,9506,
20,100,9627,13971995,14524810,505,9498,
20,100,9630,13941725,14527875,512,9490,
20,100,9642,13971093,14494105,497,9506,
20,100,9653,13996698,14500875,488,9513,
20,100,9686,14035196,14531423,489,9514,
20,100,9706,14038790,14487105,514,9488,
20,100,9739,14146017,14522972,489,9512,
20,100,9740,14120775,14507060,497,9504,
20,100,9755,14160247,14544891,478,9523,
20,100,9770,14211829,14569725,478,9523,
20,100,9771,14178873,14511909,487,9514,
20,100,9785,14205524,14537512,478,9525,
20,100,9835,14236355,14491808,500,9502,
20,100,9862,14328438,14540825,483,9520,
20,100,9879,14344785,14533986,482,9521,
20,100,9894,14377517,14553362,483,9520,
20,100,9916,14408149,14535108,485,9516,
20,100,9937,14444257,14613102,473,9543,
20,100,9946,14468205,14581280,460,9552,
20,100,9951,14449090,14532945,476,9532,
20,100,9845,14285348,14525502,489,9512,
20,100,9956,14454762,14554751,476,9547,
20,100,9307,13511524,14534869,500,9501,
20,100,9896,14338056,14489671,500,9502,
20,100,9458,13717049,14528386,495,9507,
20,100,9534,13812649,14517925,500,9505,
20,100,9514,13779597,14551313,506,9495,
20,100,9972,14468634,14559071,484,9532,
20,100,9697,14062502,14560188,493,9509,
20,100,9719,14083104,14551428,499,9505,
20,100,9432,13667267,14501027,505,9498,
20,100,9656,14008413,14498263,497,9504,
20,100,9807,14226316,14570871,486,9515,
20,100,9675,14011465,14511981,494,9507,
20,100,9635,13964103,14537965,498,9503,
20,100,9650,13990290,14533242,506,9497,
20,100,9336,13536498,14515893,501,9500,
20,100,9719,14068620,14518367,503,9498,
20,100,9331,13523342,14506552,507,9496,
20,100,8912,12867403,14472023,538,9463,
20,100,9546,13838760,14534774,509,9495,
20,100,9411,13603317,14459214,523,9479,
20,100,9164,13252148,14463954,530,9471,
20,100,9026,13056843,14474510,533,9469,
20,100,9278,13425209,14488717,523,9478,
20,100,8718,12593558,14469318,542,9461,
20,100,9936,14447157,14595321,458,9556,
20,100,9969,14492719,14561626,462,9555,
20,100,9953,14447175,14667180,464,9550,
20,100,9939,14426853,14549646,468,9533,
20,100,9888,14358991,14541513,480,9521,
20,100,9953,14448827,14542698,471,9536,
20,100,9831,14261816,14582681,479,9523,
20,100,9456,13707385,14497969,491,9510,
20,100,9658,14007748,14518150,496,9507,
20,100,9743,14137416,14514908,488,9513,
20,100,9949,14449074,14533878,479,9529,
20,100,9295,13468727,14500412,497,9504,
20,100,9717,14078942,14504875,497,9505,
20,100,9547,13826479,14516846,495,9506,
20,100,9485,13758653,14565080,502,9501,
20,100,9662,14023639,14546593,492,9512,
20,100,9511,13778697,14556628,494,9507,
20,100,9169,13248253,14462255,521,9480,
20,100,9348,13556099,14517327,508,9495,
20,100,9059,13117020,14497537,516,9485,
20,100,9154,13242959,14482516,512,9490,
20,100,9994,14493412,14537631,487,9526,
20,100,9475,13726749,14500605,501,9501,
20,100,9292,13465895,14491668,525,9476,
20,100,9102,13177943,14473755,522,9479,
20,100,9349,13500130,14450494,529,9472,
20,100,9348,13520392,14534753,519,9483,
20,100,8947,12938770,14488109,542,9460,
20,100,9080,13134754,14534051,541,9464,
20,100,9353,13542226,14474727,530,9471,
20,100,8674,12516871,14439209,565,9439,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,9419.1320754717,13650907.7075472,14520771.9433962,501.858490566,9501.179245283,0.0185185185
