Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
1,,5,2310215,2400910,39,62
1,,5,2308810,2329068,41,61
1,,5,2260859,2351426,39,62
1,,5,2258112,2349401,41,61
1,,5,2258077,2288578,41,60
1,,5,2237209,2255310,46,55
1,,5,2224758,2315477,44,58
1,,5,2206568,2231151,44,57
1,,5,2199548,2213931,42,59
1,,5,2191534,2304909,42,59
1,,5,2185912,2191560,45,56
1,,5,2182769,2222668,39,62
1,,5,2182414,2306831,45,57
1,,5,2174203,2271464,39,64
1,,5,2164101,2305524,47,54
1,,5,2160738,2249272,43,58
1,,5,2159084,2199572,46,56
1,,5,2152355,2174361,43,58
1,,5,2150610,2212295,46,56
1,,5,2139419,2175246,45,56
1,,5,2138730,2154947,50,51
1,,5,2135524,2192907,45,56
1,,5,2130930,2355195,42,59
1,,5,2126129,2260991,50,51
1,,5,2123538,2199550,48,54
1,,5,2121473,2157538,46,55
1,,5,2120471,2123715,47,55
1,,5,2116699,2349617,46,55
1,,5,2116642,2195729,44,58
1,,5,2116598,2118369,44,57
1,,5,2105005,2141239,46,55
1,,5,2100682,2146102,46,55
1,,5,2099180,2193500,44,57
1,,5,2096823,2168393,50,52
1,,5,2095097,2213521,45,57
1,,5,2094687,2146965,51,50
1,,5,2087416,2139618,42,59
1,,5,2087025,2104329,51,51
1,,5,2083974,2161418,41,60
1,,5,2083563,2204188,46,56
1,,5,2082349,2093920,52,49
1,,5,2081437,2187814,48,54
1,,5,2078780,2139959,44,57
1,,5,2077931,2183984,44,57
1,,5,2077055,2111393,49,52
1,,5,2074367,2169391,48,53
1,,5,2071380,2192557,45,56
1,,5,2069304,2091580,50,51
1,,5,2067140,2157717,51,51
1,,5,2058897,2160849,47,54
1,,5,2057811,2123277,49,52
1,,5,2054947,2086331,48,53
1,,5,2053893,2082636,47,55
1,,5,2053422,2068815,50,52
1,,5,2052791,2312869,51,50
1,,5,2050024,2104314,46,56
1,,5,2043246,2094054,44,57
1,,5,2039512,2146468,49,53
1,,5,2036535,2101820,45,56
1,,5,2035954,2041227,45,56
1,,5,2035097,2127011,48,53
1,,5,2027341,2255893,47,54
1,,5,2024979,2048420,51,50
1,,5,2024972,2049559,51,50
1,,5,2024602,2085172,51,51
1,,5,2021980,2050399,51,50
1,,5,2020076,2116187,48,53
1,,5,2020046,2020902,50,52
1,,5,2016911,2050243,47,55
1,,5,2003995,2038945,49,52
1,,5,2003155,2080093,47,54
1,,5,1998844,2097892,46,55
1,,5,1988653,2147259,52,49
1,,5,1985005,2075739,52,49
1,,5,1984802,2031683,56,46
1,,5,1980890,2031361,49,52
1,,5,1976148,2066672,50,52
1,,5,1972354,2060412,52,50
1,,5,1964842,2014232,52,50
1,,5,1912163,1949891,54,48
1,,5,1876712,2065704,53,48
1,,5,1859110,2129743,52,49
1,,5,1853140,2031325,52,49
,,,,,,
AVERAGE,,,,,,
1,,5,2085302.08433735,2160873.45783133,46.9036144578,54.4457831325
