Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
1,,100,161210,2432627,38,63
1,,100,271187,1952199,55,47
1,,100,213151,2000475,50,51
1,,100,357261,1941169,50,52
1,,100,296185,1956132,50,51
1,,100,229307,2093005,43,58
1,,100,186084,2061260,56,45
1,,100,226822,2150870,49,52
1,,100,155320,2220195,49,52
1,,100,186484,2136069,39,62
1,,100,340222,2190246,44,57
1,,100,375434,2226637,47,55
1,,100,326116,2153133,42,59
1,,100,329299,2212797,39,63
1,,100,385955,2267618,42,60
1,,100,305107,2265576,37,64
1,,100,302939,2211673,41,60
1,,100,313636,2201100,41,60
1,,100,402739,2222531,42,60
1,,100,354649,2161090,43,58
1,,100,245659,2304599,43,59
1,,100,457981,2199683,44,57
1,,100,354462,2422224,42,59
1,,100,100891,2260113,44,57
1,,100,266250,2253132,46,56
1,,100,272978,2163415,50,51
1,,100,406252,2129897,44,58
1,,100,121885,2233470,41,60
1,,100,268933,2280412,44,59
1,,100,286199,2262254,45,56
1,,100,530639,2321855,48,55
1,,100,208072,2200589,42,59
1,,100,413066,2207442,43,58
1,,100,500301,2224349,43,58
1,,100,402160,2418681,34,68
1,,100,109234,2353235,39,62
1,,100,342821,2388309,42,59
1,,100,222624,2295275,42,59
1,,100,358742,2197830,39,63
1,,100,331943,2266619,43,58
1,,100,325895,2188284,43,58
1,,100,310160,2221125,48,53
1,,100,356802,2285756,45,59
1,,100,506777,2353404,40,61
1,,100,227692,2233887,38,63
1,,100,255095,2239430,41,60
1,,100,231481,2282154,38,63
1,,100,207140,2218167,44,57
1,,100,269969,2367021,40,61
1,,100,264767,2261447,46,55
1,,100,271649,2334518,34,67
1,,100,270248,2253295,45,56
1,,100,259589,2239019,40,61
1,,100,241194,2266624,42,59
1,,100,358977,2309175,38,63
1,,100,316406,2389147,34,67
1,,100,245979,2186518,41,60
1,,100,546499,2322456,39,62
1,,100,262664,2241738,42,59
1,,100,400808,2312263,40,62
1,,100,341949,2266418,41,61
1,,100,109072,2377020,37,64
1,,100,297150,2474611,34,68
1,,100,281645,2290107,40,63
1,,100,361526,2275793,42,59
1,,100,69043,2212413,43,58
1,,100,348992,2297906,40,61
1,,100,277108,2298452,37,66
1,,100,302234,2282886,42,59
1,,100,309335,2269958,41,60
1,,100,510557,2313221,39,62
1,,100,323129,2362466,37,64
1,,100,358623,2348192,40,62
1,,100,273250,2512106,35,66
1,,100,430283,2302602,38,63
1,,100,446494,2390822,40,63
1,,100,449434,2593367,32,70
1,,100,438228,2284595,37,65
1,,100,411719,2343186,40,64
1,,100,368929,2433150,39,63
1,,100,403537,2338894,37,65
1,,100,715232,2474304,31,71
1,,100,382590,2368684,35,67
1,,100,489998,2446170,35,68
1,,100,359096,2403866,39,63
1,,100,355958,2428245,38,63
1,,100,240938,2421976,38,65
1,,100,339925,2611617,33,69
1,,100,367871,2381020,38,65
1,,100,153396,2411035,36,66
1,,100,611489,2404076,37,66
1,,100,346211,2357837,36,66
1,,100,400220,2588100,33,69
1,,100,327173,2445284,35,68
1,,100,412431,2358032,35,66
1,,100,399656,2385654,35,68
1,,100,669100,2516550,30,74
1,,100,544748,2808475,31,71
1,,100,434103,2556713,30,72
1,,100,411418,2590761,31,72
1,,100,434023,2632708,26,75
,,,,,,
AVERAGE,,,,,,
1,,100,332255.475247525,2304994.9009901,40.2574257426,61.3465346535
