Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,397,751934,9482442,3748,1253,
8,100,433,821102,9579313,3736,1265,
8,100,387,718938,9439196,3806,1195,
8,100,418,749255,9539243,3745,1256,
8,100,423,774625,9637401,3717,1284,
8,100,413,773270,9446109,3800,1201,
8,100,417,754752,9448296,3764,1239,
8,100,416,784588,9455310,3745,1256,
8,100,455,938806,9592326,3708,1295,
8,100,422,751049,9442268,3760,1241,
8,100,442,859025,9696821,3718,1283,
8,100,456,900010,9532607,3730,1271,
8,100,404,717695,9605729,3732,1269,
8,100,414,756794,9571960,3743,1258,
8,100,451,871617,9448079,3759,1242,
8,100,435,819850,9567995,3705,1296,
8,100,453,919793,9608501,3699,1302,
8,100,433,803579,9582802,3730,1271,
8,100,447,871841,9538658,3705,1296,
8,100,434,830085,9474165,3753,1249,
8,100,450,932936,9551351,3762,1242,
8,100,439,864932,9654460,3722,1279,
8,100,454,813921,9512703,3761,1240,
8,100,472,965876,9607232,3728,1276,
8,100,469,951667,9453665,3814,1189,
8,100,457,898873,9489984,3756,1245,
8,100,436,795880,9627401,3755,1246,
8,100,457,871452,9591688,3745,1256,
8,100,448,803565,9559850,3751,1250,
8,100,458,886781,9515045,3774,1228,
8,100,462,849374,9492792,3754,1247,
8,100,473,942014,9486530,3748,1253,
8,100,440,804424,9473816,3761,1241,
8,100,464,882990,9551609,3757,1245,
8,100,448,859463,9500476,3780,1221,
8,100,449,861173,9511592,3752,1249,
8,100,472,908818,9658688,3726,1275,
8,100,453,858665,9550108,3766,1236,
8,100,461,867096,9423900,3778,1223,
8,100,471,864196,9367981,3766,1235,
8,100,484,957805,9336676,3791,1210,
8,100,478,924322,9373992,3797,1204,
8,100,494,940465,9517915,3780,1221,
8,100,493,970598,9682037,3724,1277,
8,100,476,889763,9461106,3768,1233,
8,100,463,869504,9293547,3788,1213,
8,100,478,866103,9552743,3730,1272,
8,100,496,973651,9550473,3717,1284,
8,100,493,903393,9432403,3770,1231,
8,100,519,975446,9444364,3765,1236,
8,100,400,749910,9548799,3752,1249,
8,100,437,841357,9522851,3745,1256,
8,100,410,759787,9563011,3759,1243,
8,100,421,774243,9491820,3742,1259,
8,100,424,833477,9820497,3671,1330,
8,100,430,832957,9571348,3719,1283,
8,100,448,870825,9519987,3728,1274,
8,100,419,774904,9447629,3768,1234,
8,100,434,809488,9593545,3707,1294,
8,100,458,883038,9674018,3666,1335,
8,100,444,849726,9567177,3738,1264,
8,100,444,869453,9570099,3734,1267,
8,100,438,858734,9512352,3769,1232,
8,100,458,890365,9552434,3717,1284,
8,100,473,877660,9466979,3744,1259,
8,100,430,827810,9481085,3755,1246,
8,100,410,765215,9434257,3776,1226,
8,100,443,833429,9548464,3779,1222,
8,100,476,923788,9601659,3747,1254,
8,100,440,782946,9504373,3762,1240,
8,100,465,855776,9502337,3750,1251,
8,100,447,849048,9449736,3788,1213,
8,100,443,829652,9527578,3728,1273,
8,100,415,775500,9640455,3722,1279,
8,100,466,888504,9579520,3748,1254,
8,100,437,779084,9392694,3774,1228,
8,100,440,811736,9323278,3788,1213,
8,100,440,810264,9594037,3747,1254,
8,100,462,874924,9547769,3790,1211,
8,100,462,894374,9687322,3732,1272,
8,100,462,858021,9470326,3808,1193,
8,100,485,925685,9511450,3751,1250,
8,100,466,944529,9580283,3784,1217,
8,100,467,863211,9425794,3773,1228,
8,100,448,828741,9375219,3783,1218,
8,100,459,871350,9478146,3775,1226,
8,100,466,862871,9470405,3749,1254,
8,100,494,942408,9594645,3723,1278,
8,100,468,958372,9669149,3708,1293,
8,100,475,904439,9377360,3751,1250,
8,100,460,863167,9651541,3752,1249,
8,100,485,894772,9460368,3786,1215,
8,100,474,855760,9536041,3778,1226,
8,100,484,923325,9469855,3757,1244,
8,100,478,871232,9609093,3741,1261,
8,100,487,880841,9374753,3775,1226,
8,100,484,903791,9592422,3735,1266,
8,100,526,1026500,9493285,3764,1238,
8,100,515,1004221,9664642,3724,1278,
8,100,497,983630,9716928,3716,1288,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,453.51,860685.94,9526741.63,3750.67,1250.76,0
