Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,9,0,69406,77,24,
20,100,8,0,71029,66,35,
20,100,9,0,64751,76,25,
20,100,7,0,60430,83,19,
20,100,7,0,50317,88,13,
20,100,8,0,73026,70,31,
20,100,9,0,55442,82,19,
20,100,10,0,70697,76,25,
20,100,8,0,54253,82,19,
20,100,6,0,59456,77,24,
20,100,9,0,58059,85,16,
20,100,7,0,63739,76,25,
20,100,6,0,63768,72,29,
20,100,6,0,66092,77,24,
20,100,8,0,72355,68,34,
20,100,10,0,65663,77,24,
20,100,8,0,60043,79,22,
20,100,7,0,70207,74,27,
20,100,7,0,60000,77,24,
20,100,8,0,65527,76,25,
20,100,7,0,53737,85,16,
20,100,9,0,63069,79,22,
20,100,8,0,63739,79,22,
20,100,6,0,65961,82,19,
20,100,6,0,60710,81,20,
20,100,6,0,65141,79,22,
20,100,8,0,60351,84,17,
20,100,8,0,50121,82,19,
20,100,7,0,62617,78,23,
20,100,8,0,54129,83,18,
20,100,8,0,60000,77,25,
20,100,8,0,60000,77,25,
20,100,8,0,62663,81,21,
20,100,8,0,63927,77,24,
20,100,5,0,69206,71,30,
20,100,10,0,72710,74,27,
20,100,10,0,64654,77,25,
20,100,9,0,74121,70,31,
20,100,8,0,65328,77,24,
20,100,13,0,84082,64,39,
20,100,10,0,66700,74,27,
20,100,12,0,61019,75,26,
20,100,7,0,69354,76,25,
20,100,9,0,68434,77,24,
20,100,9,0,71063,73,28,
20,100,9,0,63439,77,24,
20,100,6,0,72683,74,27,
20,100,8,0,72762,74,28,
20,100,6,0,79248,71,30,
20,100,7,0,75596,70,31,
20,100,11,0,68388,78,24,
20,100,7,0,74396,71,30,
20,100,4,0,62931,85,16,
20,100,15,0,68009,76,26,
20,100,10,0,65516,71,31,
20,100,11,0,71372,71,30,
20,100,11,0,60000,79,23,
20,100,5,0,61836,77,24,
20,100,9,0,64901,80,21,
20,100,8,0,71875,66,35,
20,100,6,0,73912,67,34,
20,100,11,0,62284,76,26,
20,100,9,0,63972,78,23,
20,100,11,0,65382,76,25,
20,100,8,0,66733,77,24,
20,100,7,0,63092,79,22,
20,100,10,0,67550,75,26,
20,100,7,0,51555,85,16,
20,100,13,0,61823,77,25,
20,100,10,0,69836,75,26,
20,100,5,0,66163,79,22,
20,100,6,0,65210,82,19,
20,100,9,0,57574,84,17,
20,100,8,0,60831,76,25,
20,100,9,0,77383,73,28,
20,100,9,0,66024,77,24,
20,100,9,0,73507,66,35,
20,100,10,0,61905,78,24,
20,100,10,0,70726,78,24,
20,100,10,0,67902,72,29,
20,100,7,0,62600,75,26,
20,100,8,0,73390,73,28,
20,100,9,0,74034,69,32,
20,100,6,0,63005,81,20,
20,100,9,0,62993,76,25,
20,100,7,0,61255,83,18,
20,100,10,0,70694,76,26,
20,100,13,0,73615,66,35,
20,100,6,0,64050,78,23,
20,100,8,0,61889,76,25,
20,100,8,0,60529,72,29,
20,100,9,0,49649,86,15,
20,100,7,0,67262,81,21,
20,100,10,0,67268,75,27,
20,100,7,0,58731,78,23,
20,100,10,0,57870,77,24,
20,100,9,0,66374,79,23,
20,100,10,0,76263,72,30,
20,100,9,0,63051,78,23,
20,100,8,0,60880,80,21,
20,100,8,0,70670,79,22,
20,100,10,0,60000,81,20,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,8.3921568627,0,65289.0588235294,76.5784313725,24.637254902,0
