Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
3,100,19,141663,679550,45,56
3,100,9,52671,734028,48,53
3,100,6,18416,676617,51,50
3,100,14,104032,630755,52,49
3,100,14,80041,672791,51,51
3,100,14,103101,668962,51,50
3,100,11,60963,766286,41,60
3,100,20,140699,708837,43,59
3,100,14,71171,724008,45,57
3,100,20,169245,827905,30,72
3,100,13,68533,678247,52,50
3,100,11,62923,741476,43,58
3,100,18,120000,762518,44,59
3,100,23,202529,824317,35,69
3,100,12,84188,766826,45,56
3,100,11,57903,689791,47,54
3,100,17,122367,739447,41,62
3,100,12,78690,759445,38,64
3,100,17,120000,687365,46,55
3,100,16,124758,772989,38,64
3,100,10,41820,785629,33,69
3,100,15,120000,812302,34,67
3,100,11,77396,765776,37,64
3,100,15,91555,743203,40,62
3,100,13,90013,781378,44,57
3,100,19,146361,700504,48,54
3,100,11,59085,675065,53,49
3,100,11,72156,729215,43,59
3,100,12,104187,764701,46,55
3,100,13,101543,715914,46,56
3,100,10,46691,758843,41,61
3,100,16,120000,711659,46,55
3,100,13,85858,744007,40,61
3,100,11,67679,757353,41,60
3,100,17,119256,766725,37,64
3,100,14,90000,722035,45,56
3,100,7,25609,722324,39,62
3,100,13,67141,775176,41,62
3,100,14,91179,761305,45,58
3,100,9,40718,722171,44,57
3,100,11,64058,734262,47,54
3,100,12,68856,732731,40,61
3,100,10,70071,779800,44,57
3,100,16,99605,710056,44,58
3,100,16,108889,763285,40,62
3,100,16,109812,770590,42,61
3,100,13,97115,771085,39,63
3,100,20,152896,728799,41,60
3,100,12,71227,753206,40,61
3,100,12,75530,742099,42,59
3,100,18,129070,770328,43,59
3,100,12,69445,717641,45,57
3,100,9,47920,737265,42,59
3,100,26,218868,754151,39,63
3,100,14,91623,713003,42,61
3,100,13,80308,752422,39,63
3,100,11,63554,763699,44,58
3,100,13,69121,808438,33,68
3,100,15,97806,773717,42,59
3,100,9,46431,772450,43,58
3,100,14,106553,737448,44,59
3,100,9,45096,745734,44,57
3,100,17,128611,720390,43,58
3,100,20,150000,767980,39,62
3,100,10,62867,715638,44,57
3,100,15,94191,750193,35,66
3,100,16,110136,744209,38,63
3,100,15,98848,755032,39,63
3,100,16,120000,759700,43,58
3,100,16,126853,758740,40,61
3,100,12,88733,799619,35,67
3,100,11,75133,789417,36,65
3,100,10,60912,758513,43,59
3,100,9,62509,793924,39,62
3,100,11,73210,731466,48,53
3,100,11,69172,772734,37,64
3,100,17,136682,811315,43,59
3,100,16,124548,786573,42,59
3,100,13,90511,719368,43,58
3,100,18,146458,802065,37,65
3,100,15,122292,766239,37,64
3,100,15,120000,748923,40,62
3,100,18,150000,860449,27,76
3,100,21,155112,787886,36,65
3,100,20,155220,740564,37,65
3,100,19,129600,735302,39,62
3,100,19,149145,744135,41,61
3,100,9,40305,733333,42,59
3,100,13,106642,803030,33,68
3,100,17,117683,782079,35,66
3,100,13,94751,787729,40,61
3,100,11,73852,851046,33,68
3,100,19,150000,826511,36,65
3,100,20,152723,780778,35,66
3,100,15,101361,821924,36,66
3,100,22,175169,778807,38,64
3,100,31,276959,779009,43,62
3,100,12,64284,788601,35,67
3,100,26,218367,834446,28,74
3,100,14,99472,827579,28,73
,,,,,,
3,100,14.48,100983.05,754749,40.91,60.66
