Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
3,100,1618,11789563,73800799,4029,5972
3,100,1626,12157426,74673390,3952,6049
3,100,1644,12276878,73936771,4041,5960
3,100,1616,11602286,73102479,4095,5908
3,100,1697,12321041,73617876,4013,5991
3,100,1698,12290226,73595712,4038,5963
3,100,1717,12773000,73774491,4019,5982
3,100,1706,12653712,73289957,4034,5967
3,100,1734,12614438,73475276,3987,6014
3,100,1741,12942048,74298246,3945,6056
3,100,1617,11819659,73781460,4020,5981
3,100,1618,11711473,72920339,4083,5918
3,100,1659,12351594,74507918,3925,6077
3,100,1606,11706368,73129471,4103,5899
3,100,1705,12613032,74191458,3945,6056
3,100,1700,12325549,73581080,4035,5968
3,100,1716,12599723,73793227,4023,5978
3,100,1820,13523832,73741120,4005,5997
3,100,1760,12914191,73223554,4093,5909
3,100,1788,13231400,74344029,3941,6060
3,100,1614,11687860,73463611,4008,5995
3,100,1646,12100826,73956736,3959,6042
3,100,1646,12044095,73538560,4065,5936
3,100,1659,12147362,73771326,4023,5979
3,100,1707,12605957,73812267,3979,6022
3,100,1719,12614450,73649113,4017,5985
3,100,1778,13355426,73831998,3978,6023
3,100,1790,13397566,73988860,3993,6008
3,100,1717,12708636,74710911,3894,6107
3,100,1722,12322892,73569028,4034,5968
3,100,1584,11783245,73500870,4034,5967
3,100,1573,11572328,73703699,4038,5964
3,100,1617,11920168,73527237,3998,6003
3,100,1678,12556353,73361403,4086,5915
3,100,1651,12328130,73523302,4036,5965
3,100,1610,11706086,73579420,4019,5982
3,100,1711,12870702,73927133,3955,6046
3,100,1605,11493248,73064749,4109,5894
3,100,1756,13006561,73795237,4011,5990
3,100,1797,13344632,73648057,4009,5992
3,100,1548,11176264,73364294,4055,5947
3,100,1572,11610645,73761808,4001,6002
3,100,1565,10816457,73058535,4052,5949
3,100,1633,11836959,73651627,4047,5954
3,100,1745,12903488,73925220,3971,6031
3,100,1748,12761434,73887840,3979,6022
3,100,1786,13309497,74238491,3929,6072
3,100,1781,12987529,74317994,3916,6086
3,100,1794,13377293,74127619,3992,6009
3,100,1848,13718146,74381486,3929,6072
3,100,1534,11267623,73396569,4041,5960
3,100,1525,11227270,73808389,4004,5997
3,100,1752,12931260,73817503,4053,5949
3,100,1817,13475547,73403775,4047,5955
3,100,1860,14226437,74641377,3948,6053
3,100,1826,13480356,73668741,3998,6003
3,100,1739,12822890,73839396,3993,6008
3,100,1769,12991415,73746708,3990,6012
3,100,1606,11940703,74010018,4010,5991
3,100,1622,12053378,73857449,4010,5991
3,100,1630,12033480,73314123,4054,5948
3,100,1612,11610349,73299888,4057,5944
3,100,1762,12896696,73330788,4058,5943
3,100,1737,12613762,73537336,4039,5962
3,100,1795,13508587,73933295,3954,6048
3,100,1763,13048714,73629402,4012,5990
3,100,1805,13530774,74356180,3937,6064
3,100,1494,10833797,73389110,4044,5959
3,100,1620,11957346,73540545,4019,5982
3,100,1567,11348194,74111501,3934,6067
3,100,1643,12299028,74008878,3955,6046
3,100,1605,11691636,73408861,4059,5944
3,100,1649,12072725,73710832,4023,5980
3,100,1723,12846674,74192631,3970,6031
3,100,1669,12248691,74243425,3950,6051
3,100,1696,12573598,73972064,4002,6000
3,100,1794,13180344,73659807,3983,6018
3,100,1611,11743400,73387795,4033,5968
3,100,1637,12267041,73712089,3974,6028
3,100,1629,11880137,73477790,4064,5937
3,100,1693,12550676,74010861,3983,6018
3,100,1682,12413036,73004094,4098,5905
3,100,1765,13160647,73069982,4028,5974
3,100,1718,12847344,74056351,3977,6024
3,100,1652,11895628,73208700,4121,5881
3,100,1774,12895395,73471933,4019,5983
3,100,1800,13591732,74287201,3945,6058
3,100,1529,10980831,73078569,4117,5884
3,100,1655,12281797,73869450,3993,6009
3,100,1656,12036839,73308955,4005,5996
3,100,1670,12377401,74400319,3900,6101
3,100,1657,12168242,74003594,3997,6005
3,100,1683,12320959,73948702,4001,6000
3,100,1670,12232430,73377543,4056,5945
3,100,1699,12381607,73760487,4012,5989
3,100,1717,12747719,74225508,3921,6083
3,100,1765,13293548,74051019,3979,6023
3,100,1626,11984807,73820327,3966,6036
3,100,1617,11827405,73468636,4008,5993
3,100,1659,11894819,73218752,4065,5936
,,,,,,
3,100,1685.64,12407663.88,73734643.32,4008.48,5993.04
