Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,5,0,1135157,172,247
8,,5,0,999913,133,225
8,,5,0,1077737,164,238
8,,5,0,1088971,135,246
8,,5,0,1080012,162,234
8,,5,0,1084528,167,234
8,,5,0,1107412,132,249
8,,5,0,1094172,154,247
8,,5,0,1064251,135,245
8,,5,0,1130831,181,235
8,,5,0,1147622,179,244
8,,5,0,1094649,154,234
8,,5,0,1154933,179,241
8,,5,0,1084886,165,236
8,,5,0,1103530,156,242
8,,5,0,1140802,165,247
8,,5,0,1088705,176,236
8,,5,0,1090420,160,237
8,,5,0,1106961,165,241
8,,5,0,1128407,153,249
8,,5,0,1149738,163,254
8,,5,0,1103038,177,239
8,,5,0,1074405,164,232
8,,5,0,1160273,161,256
8,,5,0,1129556,138,248
8,,5,0,1084058,148,241
8,,5,0,1130633,162,248
8,,5,0,1112043,184,245
8,,5,0,1131306,178,246
8,,5,0,1164857,184,250
8,,5,0,1120784,176,247
8,,5,0,1101862,154,241
8,,5,0,1115222,164,242
8,,5,0,1127567,159,250
8,,5,0,1185067,180,253
8,,5,0,1141843,195,242
8,,5,0,1145826,197,244
8,,5,0,1098694,157,244
8,,5,0,1088471,163,238
8,,5,0,1111618,183,241
8,,5,0,1124299,186,240
8,,5,0,1160535,160,257
8,,5,0,1021380,127,232
8,,5,0,1113455,157,245
8,,5,0,1080085,156,244
8,,5,0,1107716,159,242
8,,5,0,1073416,159,232
8,,5,0,1089417,153,236
8,,5,0,1084882,169,236
8,,5,0,1078571,146,238
8,,5,0,1150825,179,244
8,,5,0,1184512,177,251
8,,5,0,1118150,151,249
8,,5,0,1098427,155,241
8,,5,0,1133817,152,258
8,,5,0,1098433,180,241
8,,5,0,1124376,159,252
8,,5,0,1136346,177,244
8,,5,0,1130203,185,241
8,,5,0,1073530,140,236
8,,5,0,1091771,162,235
8,,5,0,1141410,168,252
8,,5,0,1099673,146,247
8,,5,0,1097175,150,243
8,,5,0,1170061,179,254
8,,5,0,1110117,147,252
8,,5,0,1051832,140,243
8,,5,0,1099520,145,246
8,,5,0,1062782,137,247
8,,5,0,1161632,181,252
8,,5,0,1116372,166,247
8,,5,0,1129551,157,246
8,,5,0,1210082,185,258
8,,5,0,1082980,146,240
8,,5,0,1125829,167,244
8,,5,0,1116962,179,244
8,,5,0,1113101,163,237
8,,5,0,1180478,192,250
8,,5,0,1161399,177,250
,,,,,,
AVERAGE,,,,,,
8,,5,0,1113745.08860759,163.1392405063,243.7215189873
