Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
80,,5,5992,6614,50,52
80,,5,5979,7361,52,50
80,,5,5957,7875,49,54
80,,5,5940,6938,51,50
80,,5,5859,7120,56,46
80,,5,5851,10531,45,57
80,,5,5850,6139,45,56
80,,5,5841,6783,50,51
80,,5,5841,7091,41,60
80,,5,5834,7054,45,56
80,,5,5820,7553,53,48
80,,5,5819,8066,46,56
80,,5,5780,6591,44,57
80,,5,5749,7720,47,55
80,,5,5742,6595,49,52
80,,5,5735,9784,50,52
80,,5,5720,6524,48,54
80,,5,5716,5891,49,52
80,,5,5678,6978,47,54
80,,5,5661,12465,48,54
80,,5,5660,8958,45,56
80,,5,5658,6484,53,48
80,,5,5658,7342,45,56
80,,5,5639,7641,52,49
80,,5,5618,5702,48,53
80,,5,5616,6679,45,56
80,,5,5578,7310,56,45
80,,5,5545,8245,50,51
80,,5,5538,8677,40,61
80,,5,5525,7659,48,53
80,,5,5489,7088,47,54
80,,5,5478,5859,49,52
80,,5,5473,6033,46,55
80,,5,5465,5747,47,54
80,,5,5460,5788,49,52
80,,5,5455,7664,48,53
80,,5,5434,6366,46,55
80,,5,5408,7973,47,55
80,,5,5382,6889,44,57
80,,5,5371,6497,49,52
80,,5,5354,11003,47,54
80,,5,5351,11124,47,54
80,,5,5338,9734,44,57
80,,5,5335,6580,44,58
80,,5,5315,12191,43,58
80,,5,5313,6157,56,46
80,,5,5308,6416,50,51
80,,5,5306,5391,47,54
80,,5,5304,6434,55,47
80,,5,5248,6109,48,53
80,,5,5243,5331,50,51
80,,5,5177,5465,49,52
80,,5,5090,7450,52,49
80,,5,5078,7131,47,54
80,,5,5075,7086,54,47
80,,5,5060,5523,47,54
80,,5,5054,5544,43,58
80,,5,4995,5649,49,53
80,,5,4994,6606,51,50
80,,5,4981,5292,51,51
80,,5,4943,11874,57,44
80,,5,4926,5856,52,49
80,,5,4926,5029,46,55
80,,5,4918,8308,52,49
80,,5,4883,7202,48,53
80,,5,4872,6870,47,54
80,,5,4866,6739,57,44
80,,5,4800,6336,46,55
80,,5,4796,6163,46,55
80,,5,4751,6763,53,49
80,,5,4751,5795,53,48
80,,5,4745,5245,46,56
80,,5,4732,6268,50,51
80,,5,4679,5691,51,50
80,,5,4677,5479,55,46
80,,5,4629,13019,48,53
80,,5,4621,6188,47,55
80,,5,4615,5570,50,51
80,,5,4613,5016,50,51
80,,5,4605,4791,47,55
80,,5,4598,8050,49,53
80,,5,4530,5681,52,50
80,,5,4489,6169,43,58
80,,5,4480,5318,54,47
80,,5,4470,5450,51,50
80,,5,4447,5321,46,55
80,,5,4444,4445,50,51
80,,5,4374,5949,48,53
80,,5,4372,5531,48,53
80,,5,4341,4805,48,53
80,,5,4331,6018,55,46
80,,5,4200,6789,52,49
80,,5,4193,13852,50,51
80,,5,4160,4938,47,54
80,,5,4113,4242,50,52
80,,5,4060,7675,46,55
80,,5,4047,7347,42,59
80,,5,3992,6748,47,54
80,,5,3850,4650,47,54
80,,5,3838,7203,49,52
80,,5,3821,4193,50,51
80,,5,3816,6122,49,52
80,,5,3494,7234,51,50
80,,5,3484,5057,55,46
80,,5,3481,4553,48,53
80,,5,3452,6631,53,49
80,,5,3327,5799,55,46
80,,5,3148,3699,51,50
80,,5,3089,5137,47,55
80,,5,3060,3992,55,46
80,,5,2845,3068,55,46
80,,5,2597,4058,52,49
,,,,,,
AVERAGE,,,,,,
80,,5,7271.259375,9164.725,47.465625,53.85625
