Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,100,418108,2797132,396,605
8,,100,372313,2719818,415,586
8,,100,374173,2725331,411,590
8,,100,393661,2761194,396,606
8,,100,301259,2789408,393,609
8,,100,369925,2736164,411,591
8,,100,424319,2790752,391,612
8,,100,300900,2748278,412,590
8,,100,358316,2778806,404,597
8,,100,373185,2805001,384,617
8,,100,368256,2779913,386,615
8,,100,367619,2703367,417,585
8,,100,426959,2874678,362,639
8,,100,365744,2759334,398,605
8,,100,268185,2717307,426,575
8,,100,319776,2728552,419,583
8,,100,386506,2754972,394,607
8,,100,265376,2722673,418,583
8,,100,402097,2837651,381,620
8,,100,269852,2818495,388,613
8,,100,384274,2757119,415,587
8,,100,335237,2727544,404,598
8,,100,382874,2672098,431,570
8,,100,337377,2712494,423,578
8,,100,386838,2717778,404,597
8,,100,400304,2742109,403,601
8,,100,410332,2741440,408,593
8,,100,440976,2790891,401,601
8,,100,425178,2775791,395,607
8,,100,312867,2762166,392,611
8,,100,384726,2831357,389,612
8,,100,391823,2747522,396,606
8,,100,355040,2748669,409,592
8,,100,383271,2820922,384,618
8,,100,351991,2744923,405,597
8,,100,356080,2762851,392,609
8,,100,309833,2694341,414,587
8,,100,354378,2768203,405,598
8,,100,338571,2632861,446,555
8,,100,262961,2751421,397,604
8,,100,332808,2752882,412,590
8,,100,375690,2769377,400,601
8,,100,286903,2726869,407,595
8,,100,351500,2783882,402,600
8,,100,380239,2800127,390,612
8,,100,342852,2784323,391,610
8,,100,348204,2805458,389,612
8,,100,424285,2806733,390,611
8,,100,269658,2825957,381,620
8,,100,243340,2687973,431,573
8,,100,394514,2747118,398,604
8,,100,452970,2767394,390,611
8,,100,383253,2729488,420,581
8,,100,289949,2754791,400,601
8,,100,285041,2714559,416,585
8,,100,349267,2749900,403,600
8,,100,408572,2804604,394,610
8,,100,371317,2813612,382,619
8,,100,426022,2720895,407,596
8,,100,429367,2762941,405,596
8,,100,288626,2763492,382,621
8,,100,297368,2759663,401,600
8,,100,347456,2830183,397,604
8,,100,274728,2715441,414,588
8,,100,292453,2750244,413,591
8,,100,340093,2839369,375,627
8,,100,344891,2745764,406,596
8,,100,358143,2816441,389,612
8,,100,315432,2769645,400,603
8,,100,313066,2764145,404,599
8,,100,253952,2802786,386,615
8,,100,305537,2767567,401,600
8,,100,378659,2746316,409,593
8,,100,358823,2732351,412,590
8,,100,291064,2680617,437,565
8,,100,228517,2789773,387,615
8,,100,338120,2733624,398,605
8,,100,343183,2733540,412,589
8,,100,308357,2742740,420,581
8,,100,256158,2793137,388,614
8,,100,405447,2743454,401,600
8,,100,325234,2766790,396,606
8,,100,287016,2725399,407,595
8,,100,412405,2757492,416,587
8,,100,375183,2815613,376,625
8,,100,374914,2742868,409,593
8,,100,301843,2717048,419,582
8,,100,344856,2777067,390,611
8,,100,332774,2784568,377,624
8,,100,343649,2708674,413,588
8,,100,373449,2664544,418,584
8,,100,311843,2713249,415,586
8,,100,361516,2746782,402,600
8,,100,345547,2790325,381,622
8,,100,440076,2802425,382,620
8,,100,403867,2704822,408,594
8,,100,337047,2761318,407,595
8,,100,358098,2752346,393,609
8,,100,300451,2778592,394,608
8,,100,332049,2737187,420,581
8,,100,368636,2758340,408,594
,,,,,,
AVERAGE,,,,,,
8,,100,348987.495049505,2758276.73267327,401.8415841584,599.8811881188
