Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
50,100,707,292131,2190003,2014,2987
50,100,737,313448,2189970,2032,2969
50,100,703,294967,2194367,2024,2977
50,100,716,299944,2181915,2048,2953
50,100,723,300848,2202579,1982,3020
50,100,706,285855,2166951,2069,2933
50,100,754,329096,2214891,1974,3027
50,100,779,338647,2177339,2028,2975
50,100,731,301314,2190856,2009,2992
50,100,752,324081,2190251,2009,2993
50,100,790,343261,2221596,1989,3014
50,100,771,335000,2187349,2000,3003
50,100,728,299304,2173283,2014,2988
50,100,759,326177,2208536,1978,3024
50,100,797,351262,2198018,2019,2982
50,100,761,322145,2181411,2054,2947
50,100,749,315393,2204044,1978,3023
50,100,716,302067,2197400,2040,2961
50,100,742,309469,2200757,1966,3035
50,100,722,295872,2183338,2047,2955
50,100,748,316670,2227665,1944,3057
50,100,753,308435,2172073,2083,2920
50,100,787,338762,2188767,1976,3025
50,100,713,292732,2176325,2083,2918
50,100,761,326930,2205912,1994,3007
50,100,753,318284,2181148,2033,2968
50,100,773,332569,2221745,1935,3067
50,100,763,322322,2195290,2010,2992
50,100,784,340899,2185375,2055,2948
50,100,786,329201,2194644,2000,3001
50,100,747,311360,2188631,2057,2944
50,100,746,319106,2209291,1983,3020
50,100,781,332869,2227854,1925,3076
50,100,795,343287,2208378,1988,3013
50,100,761,320376,2201971,1980,3021
50,100,755,321711,2231231,1957,3045
50,100,785,336015,2212286,1958,3043
50,100,815,352864,2216260,1955,3047
50,100,769,321736,2180462,2034,2967
50,100,753,312166,2164661,2088,2913
50,100,782,334219,2198441,2031,2972
50,100,738,308136,2211713,2007,2995
50,100,741,312824,2186050,2030,2971
50,100,786,338711,2208724,1998,3006
50,100,742,305930,2165433,2066,2935
50,100,793,342889,2195374,1979,3022
50,100,757,320208,2198888,1992,3009
50,100,772,321042,2215500,1966,3035
50,100,777,331644,2199784,1994,3007
50,100,782,333051,2220073,1986,3016
50,100,797,340256,2179954,2068,2934
50,100,809,349579,2208134,1974,3028
50,100,779,324808,2181013,2058,2944
50,100,814,357342,2201497,2003,2998
50,100,760,315881,2198440,1978,3023
50,100,743,309045,2195081,2029,2972
50,100,763,323682,2208567,1962,3039
50,100,750,313965,2190773,2013,2991
50,100,808,350421,2210022,1971,3030
50,100,795,338849,2194532,2016,2986
50,100,786,340305,2206523,1990,3012
50,100,756,319504,2188009,2045,2957
50,100,802,349205,2209580,1957,3044
50,100,769,318616,2188248,2017,2984
50,100,766,318639,2192059,2032,2969
50,100,773,323576,2170770,2073,2928
50,100,806,340193,2219836,1967,3034
50,100,790,337312,2198580,2015,2986
50,100,801,336131,2186364,2070,2931
50,100,805,339313,2203277,2016,2985
50,100,856,376649,2232671,1950,3052
50,100,810,340310,2206230,2003,2998
50,100,764,319513,2201837,1994,3009
50,100,802,347100,2196280,2003,2998
50,100,765,316881,2178626,2034,2967
50,100,767,316184,2167821,2054,2947
50,100,793,337979,2173191,2078,2923
50,100,818,345836,2199213,1961,3040
50,100,799,339365,2196199,2023,2980
50,100,804,345691,2215383,1999,3002
50,100,806,335715,2207826,1995,3006
50,100,855,369898,2185829,2005,2996
50,100,835,366415,2199310,2015,2987
50,100,800,343363,2173353,2036,2966
50,100,790,335588,2174987,2071,2933
50,100,838,370831,2193762,2005,2996
50,100,852,376716,2216781,1948,3054
50,100,794,334851,2202996,1981,3020
50,100,797,341986,2187270,2022,2979
50,100,794,336520,2195581,2008,2995
50,100,852,377943,2211802,1964,3039
50,100,821,352522,2182619,2037,2964
50,100,834,357448,2223438,1933,3070
50,100,851,369542,2206493,1992,3009
50,100,848,375971,2206697,1995,3006
50,100,835,361351,2222824,1954,3048
50,100,895,400281,2217393,1958,3044
50,100,822,357658,2200279,2036,2965
50,100,821,352621,2218733,1960,3041
50,100,858,376372,2222210,1945,3057
50,100,680,274242,2196105,2034,2968
50,100,802,348424,2214151,1983,3018
50,100,723,297102,2190194,2016,2985
50,100,748,311371,2177422,2063,2938
50,100,782,335047,2213926,2012,2991
50,100,822,359098,2210776,1960,3041
50,100,771,322988,2208013,2004,2998
50,100,797,337201,2197814,2011,2991
50,100,819,357161,2181742,2031,2970
50,100,785,328722,2185355,2040,2961
50,100,755,320141,2204144,1995,3006
50,100,769,320522,2161473,2063,2939
50,100,764,327549,2207330,1984,3017
50,100,743,304689,2176066,2043,2958
50,100,804,349824,2215186,1972,3029
50,100,791,329866,2189050,2013,2988
50,100,776,332813,2216814,1983,3018
50,100,800,335042,2205595,2003,2999
50,100,789,334771,2203212,2027,2974
50,100,839,365649,2210474,1995,3007
,,,,,,
50,100,780.4,332043.108333333,2197987.81666667,2006.7166666667,2994.8333333333
