Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
50,100,101,30000,430343,403,598
50,100,115,32304,423057,412,591
50,100,126,37793,425156,402,600
50,100,122,34120,424561,407,596
50,100,135,46647,435310,398,604
50,100,103,30000,441059,390,611
50,100,92,30000,421983,422,579
50,100,134,44474,431960,395,608
50,100,134,45731,422425,406,596
50,100,136,44504,440089,379,623
50,100,104,30000,415726,447,556
50,100,127,41457,432811,406,595
50,100,122,35277,441328,378,624
50,100,122,33738,418732,430,571
50,100,117,32265,436736,384,617
50,100,141,49528,431777,386,618
50,100,140,60000,425957,418,583
50,100,149,60000,429783,397,604
50,100,114,30610,412517,433,568
50,100,135,51225,429965,391,610
50,100,140,46978,425059,406,597
50,100,138,51688,434374,398,603
50,100,127,36442,424267,397,606
50,100,132,47275,439448,392,611
50,100,136,56127,439180,394,609
50,100,132,40372,432482,391,611
50,100,112,30522,432329,399,602
50,100,125,35554,441086,373,628
50,100,124,33923,442145,357,646
50,100,125,37064,423226,407,595
50,100,133,44444,429346,405,597
50,100,132,41748,430410,398,603
50,100,160,60000,426576,406,595
50,100,126,34074,421741,402,599
50,100,122,37250,439666,389,612
50,100,125,37195,441225,381,620
50,100,113,30522,428544,410,591
50,100,130,36158,434426,374,628
50,100,126,47839,434373,414,588
50,100,129,41694,436784,381,621
50,100,121,35732,433289,398,604
50,100,126,41331,432586,393,609
50,100,139,52839,422937,412,589
50,100,134,44451,416243,411,590
50,100,130,40200,427756,408,593
50,100,134,42684,421641,409,592
50,100,137,48696,425466,402,599
50,100,159,60000,437642,383,619
50,100,131,42909,428530,404,597
50,100,122,33055,433127,396,606
50,100,150,60000,432281,399,602
50,100,139,56914,430553,401,600
50,100,119,31194,434845,391,610
50,100,126,39027,428888,404,597
50,100,123,31811,427782,403,599
50,100,126,39253,422248,427,574
50,100,141,47561,424484,417,586
50,100,167,63218,432347,395,606
50,100,152,60000,440348,391,613
50,100,111,30000,414874,449,553
50,100,130,39233,426683,412,589
50,100,125,36056,427430,404,598
50,100,133,46753,421200,416,585
50,100,124,38674,430687,398,604
50,100,158,60000,429461,396,607
50,100,148,60000,434914,401,603
50,100,145,60000,432558,396,607
50,100,108,30000,418815,425,576
50,100,139,46090,428966,402,600
50,100,133,45737,423892,407,597
50,100,137,43241,430337,407,598
50,100,128,41411,433922,391,612
50,100,129,36906,424265,409,592
50,100,149,58428,427538,395,606
50,100,120,33936,428843,405,598
50,100,138,50775,431169,411,591
50,100,134,42274,418052,447,554
50,100,122,34751,431253,400,601
50,100,136,47261,432484,400,602
50,100,122,37897,438265,384,617
50,100,139,57210,435726,380,621
50,100,127,37137,432289,396,605
50,100,127,43206,428231,408,593
50,100,128,40121,433161,401,602
50,100,156,60000,439775,386,615
50,100,170,61324,424099,400,602
50,100,131,42278,422819,408,593
50,100,140,54554,436622,397,607
50,100,157,60000,437355,390,612
50,100,139,50377,429325,412,589
50,100,149,60000,436883,383,619
50,100,140,55765,444848,368,634
50,100,132,40690,426058,409,593
50,100,138,46737,434521,384,617
50,100,140,53818,432989,413,590
50,100,140,53165,440756,391,610
50,100,140,53016,423651,409,592
50,100,137,43419,440359,382,620
50,100,119,34457,435359,395,607
50,100,148,60000,436327,369,632
50,100,157,60000,435493,376,625
,,,,,,
50,100,132.2277227723,44397.1683168317,430427.811881188,400.1386138614,601.6534653465
