Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
5,100,79,342384,2228466,203,300
5,100,68,303597,2222929,200,303
5,100,53,213698,2108036,223,278
5,100,52,202172,2205927,201,303
5,100,71,339061,2241893,187,314
5,100,51,184890,2165252,213,289
5,100,60,247151,2204432,200,302
5,100,73,326751,2249118,193,309
5,100,58,230994,2167597,216,288
5,100,56,211137,2158304,218,284
5,100,58,249690,2096240,214,287
5,100,61,248677,2196994,196,305
5,100,48,186187,2146635,223,278
5,100,69,311297,2171710,211,290
5,100,65,282627,2223119,192,309
5,100,61,267757,2228042,208,296
5,100,74,362758,2267053,200,301
5,100,47,169339,2215390,193,308
5,100,53,216375,2167020,205,297
5,100,63,275087,2244331,205,298
5,100,69,296791,2236397,213,289
5,100,75,316139,2265427,192,310
5,100,62,252006,2290076,198,304
5,100,66,280700,2276895,189,313
5,100,49,189380,2181152,218,284
5,100,70,308191,2193528,195,306
5,100,69,316920,2266509,200,301
5,100,61,277452,2188579,207,294
5,100,59,242577,2205250,202,300
5,100,63,271922,2243614,208,295
5,100,69,305679,2214748,206,296
5,100,59,265213,2220085,211,290
5,100,73,311817,2233923,195,306
5,100,70,312202,2334066,180,324
5,100,65,277291,2222557,197,304
5,100,52,218522,2220895,192,309
5,100,55,229244,2222462,211,292
5,100,59,229181,2133006,217,284
5,100,68,290484,2202714,205,297
5,100,76,321660,2242993,197,305
5,100,87,425653,2288155,195,307
5,100,72,311549,2173425,214,288
5,100,52,204726,2231551,195,307
5,100,82,366542,2179098,210,295
5,100,76,347770,2187174,201,301
5,100,78,357782,2207983,200,302
5,100,72,340782,2212027,208,297
5,100,56,227099,2215876,193,309
5,100,82,402252,2351402,180,325
5,100,61,254634,2163486,218,285
5,100,58,234820,2134445,205,296
5,100,61,274006,2179769,201,301
5,100,43,141817,2178447,215,287
5,100,63,246617,2229796,205,299
5,100,64,300190,2264189,186,317
5,100,68,292682,2244854,186,315
5,100,66,290994,2182390,222,279
5,100,70,299057,2185760,209,293
5,100,57,219911,2215180,200,301
5,100,63,280846,2296967,188,315
5,100,52,202710,2153488,220,281
5,100,55,234540,2118661,217,285
5,100,69,308837,2273322,186,315
5,100,69,294950,2245907,189,313
5,100,57,233124,2182954,215,286
5,100,49,184220,2184832,209,293
5,100,69,299250,2301835,187,314
5,100,60,264096,2243676,205,300
5,100,58,231499,2221241,201,301
5,100,58,240724,2168649,212,289
5,100,66,267785,2206417,206,297
5,100,60,269446,2210357,205,296
5,100,71,326846,2222750,196,306
5,100,44,186801,2155783,216,285
5,100,56,239073,2231434,201,300
5,100,76,338055,2225834,205,298
5,100,66,280001,2276645,187,317
5,100,78,348620,2226692,204,299
5,100,64,286547,2252619,198,304
5,100,75,340673,2243423,196,308
5,100,64,264525,2193493,192,309
5,100,65,267169,2186162,201,300
5,100,61,255802,2215262,199,304
5,100,53,224148,2229868,200,304
5,100,57,220839,2281878,194,307
5,100,60,247585,2219936,194,307
5,100,61,261717,2207415,205,296
5,100,72,320579,2248828,199,303
5,100,54,212405,2151343,217,284
5,100,53,198688,2229829,205,296
5,100,52,197718,2211912,206,295
5,100,64,254441,2197654,210,292
5,100,61,264245,2258504,193,309
5,100,63,231018,2148527,211,293
5,100,60,252746,2232907,196,306
5,100,68,294445,2261794,183,318
5,100,56,253664,2256675,195,306
5,100,69,305436,2306185,190,313
5,100,61,260342,2231709,199,302
5,100,84,362211,2243228,198,305
5,100,72,333316,2387993,175,327
,,,,,,
5,100,63.3861386139,270946.188118812,2218544.14851485,201.801980198,300.2376237624
