Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,10,2618765,2644355,440,562
8,,10,2626818,2637209,439,562
8,,10,2662826,2686118,445,557
8,,10,2667828,2677225,428,576
8,,10,2669973,2687320,423,578
8,,10,2673017,2711193,408,593
8,,10,2673189,2686864,427,574
8,,10,2681955,2686807,417,585
8,,10,2683554,2705753,413,591
8,,10,2685371,2693911,424,577
8,,10,2685576,2701753,436,566
8,,10,2685807,2694681,416,586
8,,10,2688442,2695894,415,586
8,,10,2689794,2726288,424,577
8,,10,2698960,2714236,438,565
8,,10,2699426,2711282,410,592
8,,10,2699851,2711543,403,599
8,,10,2699889,2713008,411,592
8,,10,2701353,2722588,424,577
8,,10,2702678,2710877,422,579
8,,10,2703515,2713018,422,580
8,,10,2704524,2708704,425,576
8,,10,2704926,2716162,422,580
8,,10,2706720,2712284,425,578
8,,10,2707232,2731452,425,576
8,,10,2707447,2730103,414,587
8,,10,2707455,2726387,421,580
8,,10,2711696,2729349,402,599
8,,10,2712690,2726760,410,593
8,,10,2715029,2718160,407,594
8,,10,2718710,2738480,411,591
8,,10,2719150,2727894,407,594
8,,10,2719350,2730318,407,594
8,,10,2720546,2751932,403,598
8,,10,2722026,2741117,394,609
8,,10,2722047,2729866,425,578
8,,10,2723546,2738687,411,591
8,,10,2723897,2751151,409,592
8,,10,2724282,2726280,413,589
8,,10,2724410,2738340,410,592
8,,10,2725289,2761772,434,567
8,,10,2725487,2737147,408,595
8,,10,2725528,2737931,421,580
8,,10,2727574,2732939,402,599
8,,10,2727826,2742433,404,598
8,,10,2728018,2742886,396,605
8,,10,2728179,2736040,407,594
8,,10,2728327,2739134,408,595
8,,10,2730472,2742039,397,605
8,,10,2733181,2773682,407,594
8,,10,2734200,2737403,417,584
8,,10,2735579,2748423,412,589
8,,10,2736162,2741422,411,590
8,,10,2736364,2745647,410,591
8,,10,2737092,2769935,414,589
8,,10,2737160,2742517,416,586
8,,10,2738336,2741064,406,595
8,,10,2740878,2742638,395,606
8,,10,2742064,2756257,398,603
8,,10,2743110,2755657,413,590
8,,10,2743173,2750323,394,608
8,,10,2743811,2756875,407,594
8,,10,2744043,2761766,400,602
8,,10,2745284,2762873,405,596
8,,10,2745344,2758966,399,603
8,,10,2745516,2757248,401,600
8,,10,2745996,2768275,400,601
8,,10,2746029,2761707,426,577
8,,10,2747404,2751520,418,583
8,,10,2747533,2781158,413,588
8,,10,2747544,2760442,395,607
8,,10,2749561,2771730,401,603
8,,10,2750879,2765737,404,598
8,,10,2750895,2763525,403,598
8,,10,2751634,2767467,401,600
8,,10,2752725,2762624,406,595
8,,10,2753108,2774077,403,598
8,,10,2754061,2767693,394,608
8,,10,2754066,2785198,400,602
8,,10,2754327,2759754,383,618
8,,10,2757201,2765885,398,606
8,,10,2758290,2769743,403,599
8,,10,2759596,2767189,386,615
8,,10,2759754,2770006,391,612
8,,10,2759787,2773673,409,593
8,,10,2761514,2774797,406,595
8,,10,2761639,2781851,398,604
8,,10,2762239,2781746,387,615
8,,10,2763535,2772755,386,615
8,,10,2764862,2775211,387,614
8,,10,2764929,2772728,408,593
8,,10,2766784,2780849,396,606
8,,10,2766802,2770321,409,593
8,,10,2767126,2770995,403,598
8,,10,2767467,2789158,400,601
8,,10,2768216,2784502,406,595
8,,10,2769911,2785246,396,606
8,,10,2771540,2784795,404,598
8,,10,2774574,2779508,402,602
8,,10,2775803,2791178,383,618
8,,10,2776239,2785972,374,627
8,,10,2776432,2800503,385,617
8,,10,2779199,2800524,398,604
8,,10,2779686,2798962,391,611
8,,10,2780618,2788428,387,614
8,,10,2780861,2786400,390,611
8,,10,2781762,2786913,402,600
8,,10,2783448,2792183,385,616
8,,10,2783934,2797319,405,598
8,,10,2784638,2793908,390,611
8,,10,2789971,2804948,386,617
8,,10,2790053,2809508,395,608
8,,10,2791288,2805077,392,611
8,,10,2797399,2806112,392,612
8,,10,2797955,2830608,385,616
8,,10,2799321,2805268,385,619
8,,10,2799409,2819425,388,615
8,,10,2807691,2819815,380,624
8,,10,2807778,2810714,397,605
8,,10,2809178,2812244,385,616
8,,10,2819399,2862214,373,630
8,,10,2819801,2844020,386,618
8,,10,2821539,2841729,394,608
8,,10,2828866,2843655,383,619
8,,10,2830055,2842697,376,628
8,,10,2831971,2833752,380,622
8,,10,2832265,2847300,387,615
8,,10,2833962,2861014,366,635
8,,10,2841524,2849850,382,623
8,,10,2851803,2857839,380,622
8,,10,2856308,2871721,367,637
,,,,,,
AVERAGE,,,,,,
8,,10,2746518.70992366,2760870.46564886,403.6564885496,598.213740458
