Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
3,,10,7002772,7041367,448,553
3,,10,7041854,7096373,435,567
3,,10,7072185,7082767,439,562
3,,10,7077707,7145353,419,582
3,,10,7099523,7113253,418,583
3,,10,7100086,7157428,443,559
3,,10,7101452,7128048,427,574
3,,10,7111274,7114510,440,561
3,,10,7112801,7121951,424,577
3,,10,7119983,7135522,435,566
3,,10,7120580,7162683,422,579
3,,10,7124194,7145845,428,574
3,,10,7132212,7158974,418,584
3,,10,7133471,7156271,422,579
3,,10,7137784,7198954,430,571
3,,10,7141270,7203417,423,578
3,,10,7163956,7199076,436,565
3,,10,7166056,7204078,418,584
3,,10,7175278,7190369,404,597
3,,10,7176269,7201023,416,586
3,,10,7177883,7216267,420,582
3,,10,7178045,7220541,429,572
3,,10,7181415,7259346,432,570
3,,10,7194934,7254856,434,567
3,,10,7199958,7225938,418,586
3,,10,7200765,7264442,417,585
3,,10,7207748,7271882,423,580
3,,10,7215043,7244035,418,585
3,,10,7217755,7244257,410,591
3,,10,7219895,7251818,420,582
3,,10,7222333,7253229,414,587
3,,10,7223314,7254001,411,590
3,,10,7230357,7333951,414,589
3,,10,7233449,7275868,427,574
3,,10,7234596,7291683,407,595
3,,10,7235792,7310431,423,579
3,,10,7235933,7343064,408,593
3,,10,7240305,7252513,409,592
3,,10,7242428,7280554,418,584
3,,10,7243793,7277646,407,594
3,,10,7246683,7284812,419,583
3,,10,7249359,7315740,415,587
3,,10,7250365,7278850,410,591
3,,10,7260444,7290947,411,590
3,,10,7264418,7311068,423,580
3,,10,7270032,7304911,410,591
3,,10,7271508,7307265,405,597
3,,10,7271835,7290326,403,598
3,,10,7274066,7328836,427,575
3,,10,7275789,7306826,404,599
3,,10,7280345,7302813,416,586
3,,10,7280954,7290456,409,592
3,,10,7282930,7318741,421,582
3,,10,7283032,7313619,406,597
3,,10,7284020,7323691,419,584
3,,10,7284673,7285442,409,593
3,,10,7288777,7319278,410,591
3,,10,7293326,7339358,412,589
3,,10,7294764,7344115,412,590
3,,10,7295445,7355952,400,602
3,,10,7296540,7340342,418,585
3,,10,7301796,7371758,414,587
3,,10,7304322,7317342,410,593
3,,10,7322633,7340274,408,595
3,,10,7322749,7370761,407,595
3,,10,7330799,7377014,407,594
3,,10,7330932,7374148,399,603
3,,10,7332231,7334164,411,591
3,,10,7332287,7369985,403,599
3,,10,7332416,7380476,417,585
3,,10,7335633,7337449,393,608
3,,10,7336314,7374307,408,593
3,,10,7337292,7360908,400,604
3,,10,7340107,7389275,400,602
3,,10,7340527,7381489,392,609
3,,10,7341989,7377401,409,592
3,,10,7348092,7386812,410,591
3,,10,7350990,7381646,402,599
3,,10,7360095,7385648,399,604
3,,10,7361720,7392001,392,609
3,,10,7361851,7384349,395,607
3,,10,7362655,7402231,407,596
3,,10,7367518,7422925,395,608
3,,10,7367897,7402315,411,591
3,,10,7370499,7391046,397,605
3,,10,7370841,7381229,403,598
3,,10,7372800,7408309,412,590
3,,10,7373862,7435390,382,620
3,,10,7377161,7429329,385,616
3,,10,7381055,7442865,396,606
3,,10,7382008,7410344,404,597
3,,10,7384887,7389825,404,597
3,,10,7395354,7443939,409,592
3,,10,7400545,7405458,398,605
3,,10,7402580,7421640,397,604
3,,10,7406286,7452602,401,600
3,,10,7407654,7460782,390,611
3,,10,7409116,7452058,391,614
3,,10,7416105,7447876,397,606
3,,10,7418493,7463216,381,620
3,,10,7419738,7459778,389,613
3,,10,7430695,7447779,396,605
3,,10,7433788,7461753,393,610
3,,10,7440211,7485683,387,616
3,,10,7445475,7461974,401,601
3,,10,7448473,7457838,388,614
3,,10,7448791,7482032,401,600
3,,10,7449279,7472221,390,613
3,,10,7449584,7490610,406,596
3,,10,7453712,7520475,397,606
3,,10,7454201,7470501,394,611
3,,10,7464511,7495326,384,617
3,,10,7466191,7525338,393,611
3,,10,7466878,7520322,384,617
3,,10,7482408,7583398,372,629
3,,10,7489218,7534943,370,632
3,,10,7508427,7530010,394,607
3,,10,7521817,7555532,384,619
3,,10,7522106,7568518,394,607
3,,10,7522493,7557854,380,622
3,,10,7524287,7554088,391,610
3,,10,7529304,7596051,370,633
3,,10,7564382,7592684,379,622
3,,10,7583539,7624184,378,623
3,,10,7641447,7661663,377,625
3,,10,7642072,7645374,382,619
3,,10,7758388,7766203,345,656
,,,,,,
AVERAGE,,,,,,
3,,10,7315742.19685039,7352832.20472441,406.4409448819,595.3543307087
