Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
1,,100,3314432,22211137,398,605
1,,100,3674278,22444322,387,615
1,,100,2550699,21743391,432,570
1,,100,3033525,22120477,417,585
1,,100,2896933,22169675,389,612
1,,100,3276311,21295363,436,565
1,,100,2910226,21684893,414,587
1,,100,2626031,22514701,395,607
1,,100,3065538,21954576,410,591
1,,100,3231245,21690674,433,568
1,,100,3664899,22527222,391,611
1,,100,2751209,21991474,409,593
1,,100,2473659,21812995,427,575
1,,100,3092802,22428036,398,603
1,,100,3581226,22316189,393,608
1,,100,3532924,22243224,384,617
1,,100,2564510,21926166,418,584
1,,100,2882962,22204830,403,599
1,,100,2847168,21976284,404,597
1,,100,2551547,21742687,417,585
1,,100,2966578,22258037,386,618
1,,100,2577755,21750056,422,580
1,,100,2602192,21924747,409,593
1,,100,3050688,22404567,384,617
1,,100,2133022,22338976,392,610
1,,100,2935868,22528615,386,615
1,,100,3148909,22767589,387,615
1,,100,2898037,22287255,405,599
1,,100,3210398,22595499,390,612
1,,100,2589533,22265121,417,584
1,,100,2818293,21777563,432,570
1,,100,2747218,21905447,407,594
1,,100,3001709,21993005,403,598
1,,100,3235286,22564033,387,615
1,,100,3013969,22220804,403,599
1,,100,2994162,21566549,425,577
1,,100,2535869,21554987,427,574
1,,100,2822174,22015102,411,590
1,,100,2737104,21617528,422,580
1,,100,3166314,22693992,389,613
1,,100,2732124,22344150,385,616
1,,100,2665869,21912466,409,592
1,,100,2676002,21883123,417,584
1,,100,2954707,22660795,373,628
1,,100,2864204,22110145,407,594
1,,100,2900938,22280826,401,601
1,,100,3147780,22646190,392,609
1,,100,2831060,22419854,396,606
1,,100,2730539,21913703,410,591
1,,100,3275397,22201508,393,608
1,,100,2921923,21958529,401,600
1,,100,3280141,21721316,426,575
1,,100,2456953,22026217,413,589
1,,100,2513721,22183361,407,595
1,,100,3292140,22390976,388,615
1,,100,2250368,21659028,433,570
1,,100,3108243,22322045,398,603
1,,100,2570913,21507098,423,579
1,,100,3281618,22181452,409,592
1,,100,2609825,22259168,395,606
1,,100,3014654,22048125,399,603
1,,100,2864082,21995777,410,591
1,,100,2862051,21950795,420,582
1,,100,2431225,22048486,417,584
1,,100,2876223,21407181,423,579
1,,100,2530235,21536330,432,569
1,,100,3201012,22043074,410,591
1,,100,3135184,22633452,368,633
1,,100,2785509,21803536,421,580
1,,100,2547889,21896187,412,589
1,,100,3367194,22702372,390,611
1,,100,2608702,21915101,404,597
1,,100,2951678,22385965,398,603
1,,100,2873259,21846421,423,581
1,,100,2674909,22089692,403,598
1,,100,2745349,22156548,400,602
1,,100,2721771,22451185,414,587
1,,100,3709984,22465946,393,610
1,,100,2452062,22193108,390,612
1,,100,2962324,22567157,388,613
1,,100,2630574,22424622,396,605
1,,100,2311516,22053126,410,591
1,,100,2751849,22129064,413,588
1,,100,3017954,22061511,425,578
1,,100,2583896,22245991,396,606
1,,100,2756532,22059336,402,599
1,,100,2962133,22542317,375,626
1,,100,3181357,22112252,398,606
1,,100,4402173,22571961,380,623
1,,100,3003699,21909637,412,589
1,,100,3403160,22655864,388,615
1,,100,2548624,22385170,401,602
1,,100,2533044,21529723,436,565
1,,100,2521114,21923461,416,586
1,,100,2378627,21975143,422,580
1,,100,2405373,21993855,415,586
1,,100,2700023,22381167,385,617
1,,100,3646531,22685893,370,631
1,,100,2921695,22000232,398,603
1,,100,3295516,21985649,417,586
1,,100,3638390,22727687,372,630
,,,,,,
AVERAGE,,,,,,
1,,100,2907730.12871287,22129701.3564356,404.5247524752,597.1287128713
