Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,1270,3222520,25458380,4926,5075,
8,100,1311,3324189,25267750,4999,5002,
8,100,1288,3163265,25191545,5018,4983,
8,100,1342,3412896,24962817,5071,4930,
8,100,1342,3307742,25110377,5079,4922,
8,100,1354,3313710,24986253,5072,4929,
8,100,1384,3500831,25301462,4982,5019,
8,100,1367,3391901,25245480,4962,5039,
8,100,1375,3456976,25222854,5049,4952,
8,100,1438,3596046,24693214,5116,4885,
8,100,1289,3191802,25228011,5016,4986,
8,100,1329,3367124,25248389,4958,5043,
8,100,1308,3311308,25397835,4992,5009,
8,100,1303,3154631,25131203,5000,5001,
8,100,1347,3385070,25262291,4968,5033,
8,100,1355,3428003,25125942,5034,4968,
8,100,1390,3546168,25299287,4970,5031,
8,100,1403,3544769,25398480,4990,5011,
8,100,1375,3358470,25121395,4998,5004,
8,100,1404,3506895,25223544,4998,5004,
8,100,1380,3414343,25324474,4943,5058,
8,100,1386,3441866,24871505,5073,4928,
8,100,1391,3495523,25425658,4960,5041,
8,100,1439,3666171,25095794,4988,5013,
8,100,1406,3499136,25042908,5076,4926,
8,100,1437,3605232,25296318,4990,5012,
8,100,1442,3664037,25309278,4989,5012,
8,100,1493,3750278,25313125,4936,5065,
8,100,1555,3908975,25143966,5056,4945,
8,100,1552,3901731,25098989,5003,4998,
8,100,1271,3121930,25332087,4995,5006,
8,100,1312,3252239,25207833,5000,5001,
8,100,1336,3365662,24870165,5074,4927,
8,100,1361,3410256,25225235,4974,5028,
8,100,1358,3375850,25189294,4987,5014,
8,100,1348,3308473,24910168,5077,4924,
8,100,1350,3353718,25125658,4996,5005,
8,100,1390,3501123,25147814,5005,4996,
8,100,1332,3316194,25494288,4914,5087,
8,100,1331,3337899,25184339,5023,4978,
8,100,1383,3506456,25257180,4984,5017,
8,100,1389,3511748,25140576,5007,4994,
8,100,1393,3505043,25144085,4996,5005,
8,100,1360,3408233,25044261,5008,4995,
8,100,1395,3542574,25080110,5028,4973,
8,100,1446,3685373,25224975,4975,5026,
8,100,1371,3342961,24942962,5115,4887,
8,100,1405,3524717,25411877,4958,5043,
8,100,1428,3676981,25254917,4947,5055,
8,100,1419,3576118,25252878,5016,4985,
8,100,1437,3638979,25285477,4991,5011,
8,100,1506,3849189,25147393,5018,4983,
8,100,1459,3666896,25161867,5023,4979,
8,100,1458,3640630,25110536,5056,4945,
8,100,1480,3729428,25240524,5021,4981,
8,100,1307,3332945,25504151,4909,5092,
8,100,1324,3264709,25198319,5012,4990,
8,100,1255,3038755,25299403,5008,4993,
8,100,1362,3417321,25382834,4966,5036,
8,100,1371,3452088,25411659,4939,5062,
8,100,1359,3361904,25083486,5057,4944,
8,100,1382,3482651,25283369,4965,5037,
8,100,1364,3437936,25084568,4991,5010,
8,100,1355,3383073,25203098,4972,5029,
8,100,1354,3338441,25337365,4964,5038,
8,100,1387,3492565,25273475,4976,5025,
8,100,1439,3683440,25343051,4913,5088,
8,100,1345,3262512,25113326,5027,4975,
8,100,1396,3533383,25299386,4937,5065,
8,100,1407,3498210,25027319,5045,4957,
8,100,1442,3605807,25026685,5051,4950,
8,100,1432,3575784,25068088,5034,4967,
8,100,1426,3618569,25144718,5015,4986,
8,100,1437,3600982,25188558,5049,4953,
8,100,1477,3773344,25382318,4971,5030,
8,100,1416,3486449,24877917,5059,4944,
8,100,1468,3753165,25328725,4968,5034,
8,100,1455,3652952,25055975,5057,4944,
8,100,1476,3640211,25062568,5010,4991,
8,100,1536,3861621,25370363,4945,5058,
8,100,1328,3365117,25120024,5022,4979,
8,100,1292,3288345,25350133,4950,5051,
8,100,1285,3204042,25179406,5029,4972,
8,100,1324,3386205,25199692,5012,4989,
8,100,1328,3353042,25323817,4969,5033,
8,100,1374,3432814,25116379,5029,4973,
8,100,1387,3495135,25242594,4960,5041,
8,100,1341,3352491,25455379,4925,5076,
8,100,1373,3452443,25063831,5027,4975,
8,100,1377,3484005,25226205,4994,5007,
8,100,1368,3442503,25037107,5040,4961,
8,100,1375,3450483,25349549,4952,5049,
8,100,1396,3472052,25128077,5005,4997,
8,100,1378,3386684,25042864,5090,4911,
8,100,1389,3493397,25081481,5073,4928,
8,100,1395,3465298,25081910,5047,4956,
8,100,1418,3550763,25204794,4970,5031,
8,100,1470,3804316,25434060,4953,5048,
8,100,1443,3605261,24881041,5083,4918,
8,100,1430,3589228,25261695,4982,5019,
8,100,1421,3598594,25098450,5005,4997,
8,100,1439,3709647,25225067,5035,4966,
8,100,1452,3657858,25163783,5004,4998,
8,100,1520,3901278,25708759,4840,5161,
8,100,1496,3798227,25411812,4907,5094,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,1389.9428571429,3488269.74285714,25199272.9142857,5001.3619047619,4999.9714285714,0
