Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,24,30000,92119,44,57,
20,100,26,30000,108284,36,67,
20,100,23,30000,90317,56,49,
20,100,26,30000,97301,46,58,
20,100,25,30000,92602,50,54,
20,100,26,30000,98321,47,55,
20,100,26,30000,103102,41,61,
20,100,24,30000,95547,47,56,
20,100,25,29424,90548,52,51,
20,100,21,25518,93928,46,58,
20,100,23,21374,93751,50,53,
20,100,23,21027,103884,42,61,
20,100,24,20356,97200,48,54,
20,100,23,19533,94224,45,57,
20,100,23,16911,90000,50,53,
20,100,24,14750,108579,33,70,
20,100,23,14543,92984,51,52,
20,100,21,13841,96139,49,53,
20,100,21,13462,97107,42,60,
20,100,23,12915,98931,44,58,
20,100,22,12840,101238,50,53,
20,100,23,12285,94736,43,61,
20,100,23,12215,91166,48,55,
20,100,23,10961,95787,41,61,
20,100,21,10381,91529,49,52,
20,100,21,9997,99810,49,54,
20,100,21,9959,96821,48,55,
20,100,22,9861,94163,49,53,
20,100,24,8618,105310,47,58,
20,100,21,8521,94140,49,52,
20,100,21,7925,96097,44,58,
20,100,22,7637,80908,53,50,
20,100,22,6842,96210,41,62,
20,100,24,6780,94721,47,58,
20,100,21,6539,93091,43,58,
20,100,21,6216,90550,46,55,
20,100,21,6204,90000,48,54,
20,100,21,6204,90000,48,54,
20,100,22,6038,92116,49,55,
20,100,20,5343,90000,55,47,
20,100,20,5228,107815,44,57,
20,100,21,4847,92154,49,53,
20,100,20,4699,93895,49,52,
20,100,20,4528,105290,46,58,
20,100,21,4292,96010,47,56,
20,100,20,4279,100319,44,59,
20,100,20,4255,91580,46,56,
20,100,21,4246,92765,55,48,
20,100,21,4185,92162,50,52,
20,100,21,3854,104526,40,62,
20,100,21,3556,92309,46,55,
20,100,21,3494,101062,37,65,
20,100,21,2907,95994,45,56,
20,100,21,2687,105452,39,65,
20,100,22,2478,89718,55,47,
20,100,22,2383,97702,43,58,
20,100,20,2332,98000,42,61,
20,100,21,2331,98549,44,60,
20,100,22,2191,96170,45,58,
20,100,23,2180,95882,45,58,
20,100,20,2172,101691,46,57,
20,100,22,2107,104282,44,59,
20,100,21,1997,91089,48,53,
20,100,20,1987,95166,50,52,
20,100,20,1901,91391,46,57,
20,100,20,1848,95183,50,52,
20,100,21,1840,90914,52,51,
20,100,20,1626,107507,43,60,
20,100,20,1568,94211,47,54,
20,100,20,1514,97785,48,55,
20,100,20,1495,88965,52,49,
20,100,21,1489,88071,51,50,
20,100,21,1406,96244,48,55,
20,100,20,1316,93743,50,54,
20,100,20,1137,90325,55,46,
20,100,20,1087,95681,49,54,
20,100,20,956,101420,41,61,
20,100,21,952,98123,40,62,
20,100,20,876,110350,42,61,
20,100,21,867,96021,42,59,
20,100,20,860,95794,49,54,
20,100,20,832,99962,46,58,
20,100,20,822,93419,52,52,
20,100,21,785,95970,42,61,
20,100,20,721,98075,37,64,
20,100,20,655,97182,49,52,
20,100,20,654,94956,41,60,
20,100,20,641,92860,49,52,
20,100,20,618,90839,50,53,
20,100,20,590,90000,52,50,
20,100,20,585,102648,44,60,
20,100,20,581,97981,48,54,
20,100,21,577,99125,44,58,
20,100,20,558,90000,52,51,
20,100,20,552,96141,42,60,
20,100,20,548,90845,48,54,
20,100,20,522,90000,49,55,
20,100,20,512,100928,43,60,
20,100,20,509,95642,43,59,
20,100,20,507,90000,51,51,
20,100,20,507,90000,51,51,
20,100,20,500,87455,52,50,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,21.362745098,7350.4803921569,95770.5784313725,46.6176470588,55.862745098,0
