Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,611,1523925,12418068,2540,2461,
8,100,616,1594959,12526238,2547,2454,
8,100,660,1670971,12513397,2490,2511,
8,100,650,1604971,12385235,2553,2448,
8,100,620,1496960,12628820,2515,2486,
8,100,611,1507320,12383961,2587,2415,
8,100,669,1707697,12690434,2501,2500,
8,100,622,1514792,12544756,2523,2478,
8,100,604,1469370,12501829,2498,2504,
8,100,639,1629294,12696202,2499,2502,
8,100,641,1597606,12623643,2518,2483,
8,100,623,1517849,12644122,2493,2509,
8,100,703,1797421,12488455,2495,2507,
8,100,674,1655690,12608191,2500,2501,
8,100,651,1595758,12538025,2557,2445,
8,100,674,1738793,12622595,2480,2522,
8,100,639,1581068,12715221,2435,2566,
8,100,663,1606401,12656148,2459,2544,
8,100,610,1471643,12587435,2490,2512,
8,100,662,1694192,12755222,2452,2553,
8,100,631,1593080,12658276,2476,2525,
8,100,649,1599995,12517358,2545,2457,
8,100,614,1490763,12502021,2536,2465,
8,100,636,1576840,12613153,2494,2507,
8,100,666,1728002,12754219,2467,2534,
8,100,652,1627906,12516209,2535,2466,
8,100,654,1634007,12498761,2521,2480,
8,100,693,1825132,12889784,2409,2592,
8,100,602,1489497,12475572,2516,2485,
8,100,667,1687408,12603019,2478,2523,
8,100,677,1730950,12646039,2497,2506,
8,100,693,1816416,12926328,2441,2561,
8,100,674,1718457,12532772,2507,2494,
8,100,675,1695201,12556067,2489,2512,
8,100,749,1842292,12510459,2527,2474,
8,100,649,1670682,12599445,2494,2507,
8,100,612,1590460,12521993,2502,2499,
8,100,670,1683843,12556654,2491,2510,
8,100,670,1719310,12763175,2412,2590,
8,100,650,1646180,12614593,2488,2513,
8,100,595,1426304,12718090,2469,2532,
8,100,619,1482965,12576732,2492,2511,
8,100,658,1612282,12602811,2503,2498,
8,100,703,1790192,12791809,2406,2595,
8,100,714,1753854,12561204,2517,2485,
8,100,625,1573386,12647349,2499,2502,
8,100,600,1514382,12484910,2568,2433,
8,100,591,1439733,12436535,2525,2477,
8,100,631,1570528,12699121,2474,2528,
8,100,617,1508853,12629855,2514,2488,
8,100,653,1691639,12626800,2517,2484,
8,100,607,1553657,12621126,2484,2517,
8,100,638,1636185,12601578,2510,2491,
8,100,639,1560204,12760807,2457,2544,
8,100,606,1440292,12583556,2518,2483,
8,100,630,1623519,12793918,2469,2532,
8,100,593,1447545,12628176,2504,2498,
8,100,600,1509298,12417034,2561,2442,
8,100,627,1559146,12374308,2565,2438,
8,100,606,1514189,12733337,2432,2569,
8,100,616,1519757,12432294,2579,2423,
8,100,618,1512050,12600576,2512,2489,
8,100,628,1529289,12615056,2484,2517,
8,100,638,1611728,12583549,2503,2498,
8,100,611,1513328,12470550,2541,2460,
8,100,615,1511865,12733073,2481,2520,
8,100,663,1755989,12721131,2466,2535,
8,100,648,1578959,12565343,2530,2471,
8,100,663,1666685,12592914,2525,2476,
8,100,651,1635672,12647416,2462,2540,
8,100,676,1664901,12634993,2502,2499,
8,100,616,1496394,12652342,2514,2488,
8,100,708,1811622,12441845,2548,2453,
8,100,690,1761232,12637197,2499,2503,
8,100,680,1690340,12565740,2514,2490,
8,100,557,1385308,12648518,2496,2505,
8,100,607,1510946,12588429,2514,2488,
8,100,599,1447208,12241453,2612,2390,
8,100,621,1546200,12642053,2463,2538,
8,100,617,1500762,12578492,2529,2472,
8,100,645,1615385,12692736,2495,2506,
8,100,643,1592965,12509381,2558,2446,
8,100,666,1710955,12693443,2477,2524,
8,100,625,1545292,12606290,2500,2503,
8,100,617,1497266,12513393,2515,2486,
8,100,681,1699441,12742711,2429,2572,
8,100,650,1604673,12599041,2490,2511,
8,100,614,1456604,12609730,2505,2496,
8,100,660,1647196,12630788,2508,2493,
8,100,698,1776212,12585074,2505,2496,
8,100,655,1602858,12556274,2532,2470,
8,100,685,1787683,12741997,2455,2547,
8,100,686,1745174,12690679,2467,2534,
8,100,668,1688026,12700639,2440,2561,
8,100,675,1686352,12573840,2516,2487,
8,100,667,1697711,12759394,2475,2527,
8,100,716,1808359,12582876,2486,2517,
8,100,778,2065954,12593925,2503,2500,
8,100,717,1794887,12564543,2506,2495,
8,100,730,1806264,12652078,2468,2533,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,647.75,1620307.46,12602647.46,2500.45,2501.07,0
