Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,96,284452,1544921,140,361,
8,100,94,282674,1557127,125,376,
8,100,99,293141,1549297,130,371,
8,100,86,252432,1587350,116,386,
8,100,77,216867,1520968,133,369,
8,100,98,301385,1569095,128,375,
8,100,82,241671,1516280,140,362,
8,100,78,218636,1547992,134,368,
8,100,95,283712,1528802,133,368,
8,100,97,295597,1512557,140,363,
8,100,91,273748,1595293,122,379,
8,100,64,180575,1536780,138,363,
8,100,97,293547,1546415,142,363,
8,100,97,280388,1567803,129,373,
8,100,70,168664,1499322,154,349,
8,100,95,283174,1543476,134,367,
8,100,93,274162,1569828,139,366,
8,100,89,265489,1636664,112,392,
8,100,125,412046,1626570,109,394,
8,100,74,198356,1536497,132,370,
8,100,82,225846,1519267,134,368,
8,100,103,326709,1552572,139,365,
8,100,106,331438,1537863,137,365,
8,100,105,344101,1610050,116,386,
8,100,75,201861,1538147,132,369,
8,100,102,307405,1514785,141,362,
8,100,92,273713,1570849,130,375,
8,100,89,263509,1544509,132,371,
8,100,86,251708,1571503,133,369,
8,100,79,235870,1611920,133,369,
8,100,92,272443,1537403,138,367,
8,100,81,220664,1586422,118,384,
8,100,75,220426,1564262,149,352,
8,100,83,245116,1523831,138,364,
8,100,92,276132,1502409,128,373,
8,100,91,284047,1545314,135,366,
8,100,80,237504,1585737,128,373,
8,100,77,212595,1507860,141,360,
8,100,80,242484,1521901,145,358,
8,100,72,216049,1543850,138,363,
8,100,93,278108,1535730,134,368,
8,100,86,253500,1560884,130,373,
8,100,77,223579,1553123,127,374,
8,100,64,170308,1535485,141,361,
8,100,119,378587,1566524,127,374,
8,100,75,213264,1556151,135,366,
8,100,97,294052,1566085,122,379,
8,100,86,255172,1536278,131,370,
8,100,75,219068,1558406,127,376,
8,100,116,374393,1591214,120,382,
8,100,99,307562,1554845,127,374,
8,100,78,237976,1541314,139,364,
8,100,78,229865,1590180,114,387,
8,100,88,268815,1585873,126,375,
8,100,101,312338,1587305,120,383,
8,100,101,312714,1599879,131,371,
8,100,107,350477,1630269,121,384,
8,100,109,355680,1563305,126,375,
8,100,75,221626,1555857,131,370,
8,100,102,306249,1596668,116,386,
8,100,96,300000,1564004,118,383,
8,100,90,273675,1597622,115,387,
8,100,72,208442,1566389,129,372,
8,100,110,345836,1577037,126,377,
8,100,98,303964,1554360,128,373,
8,100,105,316717,1629062,128,373,
8,100,81,253860,1623800,101,400,
8,100,77,227658,1598693,113,389,
8,100,100,310860,1555714,124,380,
8,100,89,270240,1564326,126,377,
8,100,87,262121,1548859,131,374,
8,100,112,358091,1598136,114,387,
8,100,83,247148,1582695,118,383,
8,100,78,220270,1595127,113,388,
8,100,80,230159,1564296,123,383,
8,100,106,329825,1621143,106,396,
8,100,106,330000,1593152,113,388,
8,100,87,269731,1604236,113,388,
8,100,107,338411,1572588,117,385,
8,100,84,255294,1581495,127,374,
8,100,120,394431,1608530,110,393,
8,100,83,241333,1628089,123,379,
8,100,85,250024,1591321,128,377,
8,100,84,254563,1557839,131,370,
8,100,97,290410,1660170,97,406,
8,100,90,270000,1588771,130,373,
8,100,90,260815,1565413,118,385,
8,100,88,270607,1586576,124,377,
8,100,107,330000,1569922,120,381,
8,100,81,241860,1573480,128,373,
8,100,100,306323,1551331,129,373,
8,100,84,247060,1576752,123,380,
8,100,82,240627,1549402,140,362,
8,100,88,260644,1547681,135,367,
8,100,97,300000,1567230,129,375,
8,100,95,292674,1548734,134,368,
8,100,73,216116,1572297,126,375,
8,100,111,360000,1569915,127,374,
8,100,93,279467,1566425,125,377,
8,100,76,222111,1607339,125,377,
8,100,96,291454,1620536,116,386,
8,100,107,331217,1563572,125,377,
8,100,115,369587,1598669,119,383,
8,100,90,280647,1588901,125,376,
8,100,77,220032,1572192,125,378,
8,100,100,313108,1595311,112,389,
8,100,74,210101,1555898,130,373,
8,100,96,300000,1605720,116,385,
8,100,112,350025,1603371,121,380,
8,100,113,356702,1588180,117,385,
8,100,84,259357,1607681,112,390,
8,100,92,274538,1579814,122,379,
8,100,89,263315,1564470,129,374,
8,100,81,240952,1587895,123,379,
8,100,75,207434,1560018,121,381,
8,100,88,269161,1596982,110,391,
8,100,73,211876,1581500,124,378,
8,100,112,352619,1570058,125,380,
8,100,102,314779,1589364,117,386,
8,100,108,343998,1593895,121,384,
8,100,104,323528,1616759,116,385,
8,100,85,252605,1596821,126,375,
8,100,85,244690,1580666,128,373,
8,100,78,236271,1574650,122,380,
8,100,82,243214,1584949,122,379,
8,100,77,224358,1589101,136,369,
8,100,109,344564,1571309,122,379,
8,100,105,330500,1595528,120,383,
8,100,96,289026,1543359,129,374,
8,100,99,300000,1558864,134,371,
8,100,82,238811,1560939,132,371,
8,100,71,190040,1561217,128,375,
8,100,89,265704,1573969,128,377,
8,100,117,373088,1588045,135,366,
8,100,82,240000,1564201,124,378,
8,100,88,270404,1575235,129,373,
8,100,82,237927,1554432,119,384,
8,100,98,300892,1585202,119,384,
8,100,85,240000,1561975,124,377,
8,100,124,390000,1561407,120,381,
8,100,86,252477,1578044,117,385,
8,100,89,260344,1580747,118,383,
8,100,112,363080,1613797,118,388,
8,100,79,224172,1574205,119,382,
8,100,89,270723,1634470,122,382,
8,100,101,305898,1548255,129,374,
8,100,97,300000,1558995,125,376,
8,100,108,327760,1581690,130,373,
8,100,91,265993,1594915,114,389,
8,100,105,318691,1620124,98,403,
8,100,100,302302,1598434,115,388,
8,100,64,176703,1564403,129,372,
8,100,117,368852,1582214,115,386,
8,100,89,274190,1570750,132,371,
8,100,91,270977,1562903,126,375,
8,100,101,311616,1608419,101,400,
8,100,104,322853,1610906,108,394,
8,100,87,257185,1584820,119,383,
8,100,87,270000,1568572,121,380,
8,100,104,322923,1641095,108,396,
8,100,110,338485,1578021,121,383,
8,100,99,310007,1576763,124,379,
8,100,114,365647,1580189,129,375,
8,100,92,280361,1652441,115,390,
8,100,112,354387,1606349,108,393,
8,100,79,236977,1602637,127,374,
8,100,74,210000,1600769,119,388,
8,100,78,213282,1559810,122,379,
8,100,96,284065,1618520,110,392,
8,100,97,300712,1619697,110,392,
8,100,112,365767,1652650,109,392,
8,100,93,289549,1585599,130,372,
8,100,107,334084,1551583,130,374,
8,100,107,335610,1615675,114,391,
8,100,91,270458,1548792,136,366,
8,100,85,243342,1585859,117,385,
8,100,83,241813,1588854,115,387,
8,100,81,240000,1563266,130,371,
8,100,92,273093,1558004,138,365,
8,100,118,375510,1592117,125,378,
8,100,83,258731,1557763,135,368,
