Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,23,14441,120000,22,80,
20,100,22,14851,120000,24,78,
20,100,22,15287,120000,23,78,
20,100,22,15287,120000,23,78,
20,100,23,18569,120000,24,78,
20,100,23,18569,120000,24,78,
20,100,23,19288,120000,25,78,
20,100,22,19329,120875,19,85,
20,100,22,19411,120683,23,78,
20,100,23,22618,120000,20,81,
20,100,23,23067,129619,21,83,
20,100,24,26517,150000,21,84,
20,100,24,26517,150000,21,84,
20,100,23,29654,120000,25,80,
20,100,25,30000,120000,23,79,
20,100,25,30000,117127,27,74,
20,100,31,30000,120000,26,78,
20,100,33,30000,120757,16,86,
20,100,31,30000,120931,20,86,
20,100,26,30000,120000,27,76,
20,100,32,30000,120782,24,79,
20,100,26,30000,120000,27,75,
20,100,26,30000,120000,27,75,
20,100,31,30000,122003,23,81,
20,100,25,30000,120500,21,82,
20,100,29,30000,134598,18,86,
20,100,26,30000,120000,19,83,
20,100,25,30000,126431,21,82,
20,100,32,30000,120679,22,84,
20,100,29,30000,120000,24,79,
20,100,29,30000,120000,24,79,
20,100,28,30000,120000,26,75,
20,100,35,30000,120000,20,81,
20,100,35,30000,120000,20,81,
20,100,25,30000,120000,26,80,
20,100,28,30000,120000,26,75,
20,100,28,30000,120000,26,75,
20,100,25,30000,120000,23,78,
20,100,25,30000,120000,23,78,
20,100,24,30000,121431,22,79,
20,100,27,30000,120000,20,81,
20,100,35,30000,120000,25,78,
20,100,35,30000,120000,25,78,
20,100,26,30000,120000,27,78,
20,100,33,30000,120000,31,73,
20,100,33,30000,120000,31,73,
20,100,27,30000,120000,27,76,
20,100,27,30000,120000,27,76,
20,100,25,30000,120000,18,83,
20,100,25,30000,145232,26,75,
20,100,28,30000,133589,18,85,
20,100,33,30000,121534,24,82,
20,100,24,30000,120000,23,79,
20,100,32,30000,130901,26,82,
20,100,29,30000,120000,22,82,
20,100,29,30000,122396,23,83,
20,100,27,30000,123722,22,82,
20,100,26,30000,120000,22,82,
20,100,26,30000,132271,24,78,
20,100,26,30000,125229,23,78,
20,100,27,30000,119618,29,73,
20,100,25,30000,120000,26,76,
20,100,28,30000,121139,19,86,
20,100,25,30000,120000,27,78,
20,100,25,30000,120000,27,78,
20,100,24,30000,113314,24,77,
20,100,33,30000,120000,22,81,
20,100,28,30000,120653,27,78,
20,100,25,30000,116698,29,72,
20,100,27,30000,120000,20,82,
20,100,29,30000,142049,25,76,
20,100,28,30000,116716,27,74,
20,100,28,30000,120000,19,86,
20,100,24,30000,123325,22,82,
20,100,25,30000,123480,20,81,
20,100,25,30000,123567,23,79,
20,100,35,30000,120000,22,82,
20,100,32,30000,130630,21,82,
20,100,39,30000,122643,20,83,
20,100,29,30000,120000,17,84,
20,100,30,30000,120000,26,77,
20,100,30,30000,120000,26,78,
20,100,30,30000,120000,26,78,
20,100,23,30000,126205,25,79,
20,100,36,30000,121636,19,86,
20,100,25,30000,153069,26,77,
20,100,28,30000,121043,24,80,
20,100,45,60000,150000,24,88,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,25.2014388489,20038.1366906475,121671.978417266,24.5755395683,78.1438848921,0.5053380783
