Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,0,0,10,
20,100,0,0,150000,1,108,
20,100,0,0,13865337,262,9163,
20,100,0,0,13986742,276,9242,
20,100,9973,14645259,14737378,297,9709,
20,100,9972,14650948,14766947,297,9710,
20,100,0,0,14255066,299,9410,
20,100,9948,14627115,14725612,299,9703,
20,100,0,0,14565891,300,9612,
20,100,0,0,14399185,302,9508,
20,100,9939,14589246,14757946,309,9696,
20,100,9980,14652281,14806804,314,9705,
20,100,0,0,14288940,316,9426,
20,100,10001,14677875,14702959,318,9699,
20,100,10002,14660577,14711258,319,9700,
20,100,9975,14639027,14688493,320,9681,
20,100,10029,14713159,14791921,323,9716,
20,100,9957,14589304,14670188,337,9671,
20,100,9959,14578882,14772390,355,9661,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,1000,9975.9090909091,14638515.7272727,14642731.8666667,313.6666666667,9640.4666666667,0.8392857143
