Number of connections,Number of DNS servers,Avg. size Node list recieved ,Time taken to find all nodes,Time take to test all nodes if online,Number of nodes online  ,Number of nodes offline  
8,,100,1844648,13736602,2013,2989
8,,100,2250087,13778742,2023,2978
8,,100,2129840,13802489,2046,2955
8,,100,2111775,13717542,2033,2968
8,,100,2197339,13834775,1989,3012
8,,100,2280683,13839057,1980,3021
8,,100,2173948,13843893,2009,2995
8,,100,2256577,13732856,2011,2990
8,,100,2365177,13844947,2006,2996
8,,100,2264576,13836079,1974,3029
8,,100,1974676,13796612,1976,3025
8,,100,1987143,13870621,1991,3010
8,,100,1816807,13684372,2031,2970
8,,100,1866741,13768109,2024,2979
8,,100,2006353,13744768,2021,2982
8,,100,1914403,13715777,2025,2976
8,,100,1915717,13763810,2020,2981
8,,100,1882285,13818746,1992,3009
8,,100,1878495,13859527,2024,2977
8,,100,1691527,13655825,2077,2925
8,,100,2020041,13644327,2032,2971
8,,100,2157856,13645172,2070,2932
8,,100,1799770,13593048,2057,2944
8,,100,2298034,13925070,1938,3065
8,,100,1995605,13846451,1952,3049
8,,100,2228265,13862135,1998,3005
8,,100,1983346,13808696,1989,3013
8,,100,2052501,13751840,2031,2971
8,,100,2050399,13689176,2050,2952
8,,100,2184595,13775896,2013,2988
8,,100,2079183,13785131,2042,2960
8,,100,2088185,13899122,1990,3011
8,,100,2024006,13845198,2000,3002
8,,100,2219577,13985894,1977,3024
8,,100,1976973,13761006,1995,3006
8,,100,2214964,13981840,1933,3070
8,,100,2184183,13992968,1975,3026
8,,100,2051000,13684217,2072,2929
8,,100,2163073,13796557,1995,3008
8,,100,2007296,13721531,2015,2987
8,,100,2086933,13793814,1999,3002
8,,100,2122589,13719727,2025,2976
8,,100,2088436,13752170,2032,2969
8,,100,2278767,13895965,1940,3062
8,,100,2082603,13986167,1939,3062
8,,100,1993463,13781748,2011,2990
8,,100,1971566,13724086,2018,2983
8,,100,2199138,13754301,1980,3022
8,,100,2037029,13820161,2007,2994
8,,100,2363670,13757362,2035,2967
8,,100,2150233,13828278,2007,2995
8,,100,2194018,13824502,1980,3022
8,,100,2097462,13753702,2019,2982
8,,100,2126806,13920932,1964,3039
8,,100,1993531,13744290,2036,2967
8,,100,2063998,13846065,1960,3041
8,,100,2344950,13806479,2010,2991
8,,100,2215569,13793499,2016,2985
8,,100,2117679,13787141,2032,2970
8,,100,2194917,14020183,1946,3055
8,,100,2195034,14028610,1943,3058
8,,100,2205181,13895242,1969,3033
8,,100,2177121,13902318,1973,3028
8,,100,2370619,13808186,1989,3012
8,,100,2206379,13787001,2032,2971
8,,100,2119057,13743442,2014,2987
8,,100,2038184,13868147,2023,2979
8,,100,2295234,14019680,1937,3064
8,,100,2001823,13589912,2051,2950
8,,100,2166584,13895017,1995,3006
8,,100,2222792,13736368,2023,2979
8,,100,2158058,13944454,1945,3056
8,,100,2241351,13752646,2041,2962
8,,100,2153675,13788650,1999,3002
8,,100,2093148,13772557,2019,2984
8,,100,1976581,13831406,2002,2999
8,,100,2088398,13815734,1997,3004
8,,100,2266251,13821056,1998,3004
8,,100,2214572,13877468,1971,3030
8,,100,2224464,13917367,2000,3002
8,,100,2334551,13862550,1957,3044
8,,100,2190984,13780331,2010,2991
8,,100,2084030,13724156,2036,2965
8,,100,2351756,13754486,2030,2972
8,,100,2294714,13940841,1955,3046
8,,100,2161467,13730272,2035,2966
8,,100,2321256,13928320,1967,3035
8,,100,2147363,13775622,2026,2976
8,,100,2244483,14062242,1926,3078
8,,100,2241231,13649484,2062,2939
8,,100,2170680,13761989,2032,2971
8,,100,2211734,13821720,1982,3020
8,,100,2237318,13714481,2031,2970
8,,100,2337375,13742466,2041,2960
8,,100,2310118,13730478,2023,2978
8,,100,2146192,13705239,2014,2989
8,,100,2414500,13907791,1947,3056
8,,100,2250614,13752746,2028,2974
8,,100,2194093,13743575,2030,2971
8,,100,2283896,14005518,1970,3032
8,,100,2289093,13895844,1983,3019
8,,100,2152815,13775845,2022,2979
8,,100,2426583,13953324,1941,3060
8,,100,2326717,13866529,1996,3005
8,,100,2271710,13878799,2002,2999
8,,100,2162608,13750424,2030,2972
8,,100,2348945,13756956,2028,2974
8,,100,2262954,13923985,2005,2996
8,,100,2304416,13627174,2055,2947
8,,100,2230870,13753852,2044,2957
,,,,,,
AVERAGE,,,,,,
8,,100,2149368.89090909,13809302.6909091,2004.3090909091,2997.3181818182
