Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
100,100,63,0,94260,207,294
100,100,66,0,103063,174,327
100,100,61,0,96922,185,316
100,100,69,0,94533,212,289
100,100,69,0,96846,188,314
100,100,54,0,93333,215,287
100,100,60,0,94465,213,289
100,100,64,0,97201,204,297
100,100,83,0,94510,199,303
100,100,68,0,99371,194,307
100,100,63,0,94635,209,292
100,100,52,0,96102,193,310
100,100,66,0,99475,187,314
100,100,49,0,94182,203,298
100,100,74,0,94653,193,308
100,100,65,0,94072,203,298
100,100,56,0,93811,199,303
100,100,67,0,93102,212,289
100,100,60,0,90562,229,273
100,100,55,0,96267,204,297
100,100,54,0,93512,206,296
100,100,68,0,97752,195,307
100,100,66,0,96850,191,311
100,100,66,0,99238,197,304
100,100,52,0,93651,217,284
100,100,66,0,94004,197,305
100,100,61,0,96081,187,316
100,100,73,0,97516,204,300
100,100,54,0,90500,228,274
100,100,55,0,91000,213,288
100,100,64,0,96482,203,298
100,100,67,0,101180,187,317
100,100,48,0,92001,213,288
100,100,59,0,96162,205,297
100,100,64,0,100234,189,313
100,100,85,0,100070,173,329
100,100,55,0,98401,200,302
100,100,80,0,95565,192,311
100,100,57,0,99430,186,317
100,100,71,0,100234,194,307
100,100,69,0,101192,189,313
100,100,69,0,95435,190,312
100,100,57,0,95339,194,308
100,100,71,0,93720,206,297
100,100,54,0,92177,218,283
100,100,54,0,101918,191,311
100,100,59,0,98924,196,307
100,100,44,0,93363,210,291
100,100,73,0,92091,210,291
100,100,60,0,92095,219,284
100,100,73,0,97248,197,304
100,100,72,0,98362,202,300
100,100,66,0,96642,212,289
100,100,76,0,95898,202,301
100,100,70,0,99315,193,310
100,100,56,0,98161,184,317
100,100,70,0,99280,172,330
100,100,53,0,97067,200,302
100,100,69,0,96810,200,301
100,100,65,0,97419,200,302
100,100,70,0,93828,201,300
100,100,56,0,97581,192,310
100,100,67,0,95440,197,304
100,100,64,0,98274,191,310
100,100,63,0,92548,220,284
100,100,62,0,99692,196,305
100,100,64,0,94153,194,307
100,100,59,0,104720,181,320
100,100,68,0,98924,198,303
100,100,59,0,98043,204,297
100,100,54,0,95212,198,305
100,100,58,0,94350,213,289
100,100,71,0,96716,194,308
100,100,53,0,92401,217,284
100,100,61,0,96112,197,304
100,100,64,0,92776,224,278
100,100,61,0,93691,204,297
100,100,68,0,94864,191,311
100,100,74,0,93602,200,302
100,100,74,0,97110,195,307
100,100,73,0,101037,188,316
100,100,55,0,96136,208,295
100,100,69,0,94876,222,279
100,100,87,0,93785,198,305
100,100,60,0,97326,207,296
100,100,63,0,103246,175,326
100,100,71,0,96958,198,304
100,100,64,0,97105,199,302
100,100,46,0,96323,200,301
100,100,58,0,100026,178,324
100,100,74,0,96528,198,304
100,100,72,0,96934,192,310
100,100,71,0,99159,203,298
100,100,70,0,100261,189,313
100,100,48,0,96488,195,306
100,100,67,0,97142,204,298
100,100,76,0,99039,195,306
100,100,56,0,92061,228,274
100,100,64,0,90562,226,275
100,100,66,0,102715,200,302
100,100,78,0,98538,188,315
100,100,57,0,97503,192,309
100,100,81,0,100752,179,324
100,100,54,0,94784,198,303
100,100,63,0,95177,192,311
100,100,67,0,96105,195,308
100,100,57,0,97423,194,307
100,100,79,0,96053,199,304
,,,,,,
100,100,64.1203703704,0,96460.7685185185,199.3703703704,302.4259259259
