Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline
100,100,17,0,1803,42,61
100,100,18,0,1533,45,58
100,100,16,0,2660,41,60
100,100,18,0,532,37,64
100,100,10,0,524,57,44
100,100,7,0,518,48,53
100,100,17,0,555,40,63
100,100,13,0,500,41,60
100,100,12,0,794,39,63
100,100,21,0,1151,36,66
100,100,20,0,882,44,60
100,100,8,0,704,41,60
100,100,16,0,620,48,54
100,100,13,0,545,49,52
100,100,15,0,1094,51,51
100,100,18,0,543,35,66
100,100,23,0,533,34,67
100,100,11,0,1161,40,61
100,100,15,0,677,39,63
100,100,13,0,534,46,55
100,100,16,0,771,37,64
100,100,10,0,522,36,66
100,100,10,0,1255,43,58
100,100,21,0,2044,41,61
100,100,10,0,614,37,64
100,100,15,0,522,40,62
100,100,19,0,639,41,60
100,100,20,0,828,35,68
100,100,18,0,729,43,60
100,100,14,0,565,47,56
100,100,21,0,564,31,70
100,100,21,0,636,36,65
100,100,11,0,978,35,66
100,100,16,0,878,39,63
100,100,17,0,915,38,63
100,100,10,0,900,33,68
100,100,11,0,519,47,54
100,100,16,0,995,47,55
100,100,8,0,543,51,50
100,100,18,0,647,39,62
100,100,9,0,548,47,54
100,100,15,0,609,36,66
100,100,11,0,546,50,52
100,100,15,0,593,41,61
100,100,12,0,1256,47,54
100,100,13,0,519,43,58
100,100,12,0,701,41,60
100,100,18,0,1325,37,66
100,100,17,0,972,34,68
100,100,13,0,582,48,53
100,100,13,0,582,48,53
100,100,14,0,600,39,62
100,100,14,0,861,49,52
100,100,15,0,565,42,59
100,100,14,0,1090,46,57
100,100,19,0,923,43,58
100,100,17,0,777,39,64
100,100,21,0,1669,45,58
100,100,10,0,1152,40,61
100,100,19,0,1605,44,59
100,100,13,0,518,42,59
100,100,13,0,518,42,59
100,100,21,0,1657,37,67
100,100,14,0,624,42,60
100,100,9,0,535,43,58
100,100,11,0,666,55,46
100,100,18,0,1526,42,60
100,100,15,0,1132,49,53
100,100,22,0,1076,25,77
100,100,13,0,856,40,61
100,100,16,0,654,41,60
100,100,22,0,514,33,69
100,100,19,0,570,39,63
100,100,19,0,1249,41,62
100,100,9,0,778,33,68
100,100,17,0,1017,41,61
100,100,17,0,1437,44,59
100,100,12,0,623,44,58
100,100,15,0,1858,39,62
100,100,13,0,1716,36,66
100,100,9,0,560,41,60
100,100,27,0,1254,41,62
100,100,15,0,817,39,64
100,100,14,0,594,45,56
100,100,18,0,670,47,54
100,100,19,0,1115,50,52
100,100,22,0,699,35,68
100,100,18,0,1741,43,58
100,100,18,0,564,38,63
100,100,16,0,540,52,49
100,100,8,0,1251,44,57
100,100,16,0,1074,41,61
100,100,14,0,561,45,56
100,100,11,0,976,36,65
100,100,17,0,1763,34,68
100,100,8,0,590,43,59
100,100,14,0,640,40,61
100,100,18,0,509,34,67
100,100,13,0,641,42,60
100,100,9,0,551,44,57
100,100,18,0,1846,34,67
,,,,,,
100,100,15.0891089109,0,889.9207920792,41.4257425743,60.2277227723
