Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,3619,13022119,18102019,305,4697,
8,100,3705,13324499,18024084,300,4701,
8,100,3799,13723077,18150696,266,4735,
8,100,3920,14134948,18056891,279,4722,
8,100,3947,14286660,18165513,261,4741,
8,100,3967,14350332,18200455,270,4732,
8,100,3971,14345513,18114877,265,4736,
8,100,3973,14312896,18048920,274,4728,
8,100,3976,14327394,18068038,259,4744,
8,100,3983,14374191,18054077,274,4727,
8,100,3987,14417345,18139516,267,4734,
8,100,3990,14455712,18383479,270,4732,
8,100,4006,14494128,18233958,278,4725,
8,100,4012,14488148,18086652,270,4731,
8,100,4045,14621340,18156706,274,4727,
8,100,4061,14698026,18151262,261,4741,
8,100,4076,14729283,18095304,260,4742,
8,100,4077,14756186,18121759,256,4745,
8,100,4077,14742952,18232850,266,4735,
8,100,4078,14704514,18083086,263,4740,
8,100,4109,14902079,18313861,246,4757,
8,100,4121,14922017,18288352,252,4753,
8,100,4130,14958931,18123179,253,4749,
8,100,4131,14967116,18187335,265,4737,
8,100,4134,14971016,18234614,254,4747,
8,100,4149,15006397,18132493,248,4753,
8,100,4153,15038743,18162697,255,4749,
8,100,4156,15068091,18436141,254,4747,
8,100,4159,15068591,18139256,257,4746,
8,100,4172,15102682,18136078,249,4754,
8,100,4186,15157397,18162827,255,4747,
8,100,4195,15190217,18185909,253,4750,
8,100,4201,15236934,18168737,260,4747,
8,100,4218,15298709,18203805,239,4762,
8,100,4220,15291402,18143679,246,4756,
8,100,4224,15302193,18258591,254,4749,
8,100,4225,15289139,18143557,250,4752,
8,100,4227,15312921,18250391,248,4754,
8,100,4247,15396007,18217276,253,4750,
8,100,4261,15457339,18162943,248,4755,
8,100,4266,15477835,18221609,245,4756,
8,100,4269,15472025,18201188,266,4737,
8,100,4274,15480793,18147602,254,4747,
8,100,4304,15581807,18307529,252,4756,
8,100,4315,15660766,18202906,247,4756,
8,100,4349,15784277,18198907,243,4761,
8,100,4350,15786203,18447624,233,4769,
8,100,4360,15827489,18153851,238,4764,
8,100,4362,15817349,18160868,244,4759,
8,100,4367,15841944,18267541,255,4747,
8,100,4367,15881198,18483858,236,4768,
8,100,4371,15835114,18156392,253,4748,
8,100,4381,15890338,18223910,243,4759,
8,100,4391,15937084,18177313,235,4768,
8,100,4392,15921566,18146015,250,4753,
8,100,4395,15930367,18122890,259,4743,
8,100,4417,16025396,18227937,242,4759,
8,100,4454,16173993,18218579,241,4762,
8,100,4458,16181542,18207399,240,4765,
8,100,4469,16226715,18181739,238,4765,
8,100,4489,16299365,18212157,237,4764,
8,100,4497,16329443,18350818,237,4767,
8,100,4500,16353802,18237370,228,4773,
8,100,4525,16461126,18203449,235,4768,
8,100,4544,16486498,18241680,234,4768,
8,100,4560,16549968,18136526,251,4751,
8,100,4566,16578834,18293478,236,4767,
8,100,4632,16828867,18202539,228,4775,
8,100,4864,17680948,18206177,229,4772,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,4222.8260869565,15297823.7101449,18192198.7536232,253.4202898551,4748.9275362319,0.4297520661
