Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,0,0,90000,1,66,
20,100,0,0,90000,1,67,
20,100,0,0,120000,2,87,
20,100,0,0,120000,2,90,
20,100,0,0,120000,2,88,
20,100,0,0,120000,2,88,
20,100,0,0,150000,4,103,
20,100,0,0,150000,3,99,
20,100,0,0,150000,3,99,
20,100,0,0,90000,1,67,
20,100,15,0,150000,11,90,
20,100,15,0,150000,11,90,
20,100,0,0,150000,3,110,
20,100,34,30000,126980,9,93,
20,100,33,30000,131520,7,94,
20,100,39,30000,145770,6,97,
20,100,29,30000,150000,6,95,
20,100,37,30000,150000,8,93,
20,100,37,30000,150000,8,97,
20,100,39,30000,150000,6,96,
20,100,39,30000,150000,6,96,
20,100,29,30000,150000,8,93,
20,100,36,30000,150000,5,98,
20,100,36,30000,150000,5,98,
20,100,25,30000,180000,8,95,
20,100,36,30000,184458,6,96,
20,100,34,30000,159991,7,98,
20,100,32,30000,123604,8,93,
20,100,28,30000,137222,6,97,
20,100,25,30000,169209,6,95,
20,100,31,30000,121582,8,93,
20,100,40,30592,123213,8,94,
20,100,41,31090,162793,6,96,
20,100,40,31186,180000,10,91,
20,100,41,31324,180000,5,96,
20,100,41,31324,180000,5,96,
20,100,41,38304,150000,13,91,
20,100,41,38304,150000,13,91,
20,100,43,51444,150000,8,99,
20,100,42,51613,150000,7,94,
20,100,49,60000,139508,9,97,
20,100,51,60000,150000,5,97,
20,100,51,60000,150000,5,97,
20,100,57,60000,150000,6,100,
20,100,44,60000,150000,7,94,
20,100,44,60000,150000,7,94,
20,100,48,60000,150000,7,97,
20,100,53,60000,150000,6,100,
20,100,59,60000,150000,4,102,
20,100,59,60000,150000,5,97,
20,100,59,60000,150000,5,97,
20,100,58,60000,150000,6,97,
20,100,48,60000,150000,5,99,
20,100,49,60000,152155,8,100,
20,100,53,60000,159075,10,96,
20,100,44,60000,180000,8,95,
20,100,58,60000,180660,9,100,
20,100,59,60000,202871,8,104,
20,100,60,60000,204962,8,98,
20,100,51,60000,210000,7,95,
20,100,52,60000,270000,8,104,
20,100,46,60000,150000,6,99,
20,100,58,60000,150000,6,98,
20,100,55,60000,180000,4,109,
20,100,57,60000,137051,7,97,
20,100,47,60000,150000,5,97,
20,100,53,60000,150000,3,98,
20,100,53,60000,150000,3,98,
20,100,48,60000,156585,8,98,
20,100,61,61758,210000,8,102,
20,100,61,62039,150000,5,103,
20,100,60,62848,150533,7,100,
20,100,60,65242,179640,9,98,
20,100,63,76219,210000,6,102,
20,100,62,82059,150000,4,98,
20,100,62,82059,150000,4,98,
20,100,71,90000,128112,7,96,
20,100,68,90000,150000,6,101,
20,100,71,90000,150000,7,96,
20,100,67,90000,150000,8,100,
20,100,72,90000,150000,5,97,
20,100,72,90000,150000,5,97,
20,100,67,90000,155678,10,97,
20,100,65,90000,156667,5,106,
20,100,71,90000,174104,6,104,
20,100,67,90000,179153,9,103,
20,100,71,90000,180000,7,104,
20,100,64,90000,199727,4,104,
20,100,78,90000,210000,7,107,
20,100,78,90000,210000,7,107,
20,100,72,90000,210000,5,99,
20,100,64,90000,254142,7,97,
20,100,67,90000,300000,6,97,
20,100,65,90000,150000,5,98,
20,100,75,90000,150000,5,104,
20,100,75,90000,150000,5,104,
20,100,76,90000,300000,6,104,
20,100,74,90000,149939,6,99,
20,100,66,90000,210000,5,98,
20,100,70,90000,180000,5,98,
20,100,69,90000,125547,8,95,
20,100,68,90000,180000,10,101,
20,100,78,90000,150550,6,110,
20,100,65,90000,150000,7,100,
20,100,79,90000,210000,6,113,
20,100,79,90000,210000,6,113,
20,100,79,90000,210000,6,113,
20,100,80,90615,180000,5,115,
20,100,80,90615,180000,5,115,
20,100,80,92000,180000,7,110,
20,100,80,92000,180000,7,110,
20,100,81,106350,180000,6,101,
20,100,81,106350,180000,6,101,
20,100,90,120000,150000,4,109,
20,100,93,120000,150000,4,106,
20,100,93,120000,150000,4,106,
20,100,86,120000,153069,5,109,
20,100,86,120000,156749,6,113,
20,100,89,120000,180000,4,108,
20,100,88,120000,180000,7,115,
20,100,92,120000,180000,4,103,
20,100,85,120000,180000,5,113,
20,100,84,120000,180000,6,115,
20,100,90,120000,210000,4,118,
20,100,91,120000,150000,5,103,
20,100,97,120000,216553,5,102,
20,100,100,120504,180000,6,118,
20,100,100,120525,210000,6,99,
20,100,100,120525,210000,6,99,
20,100,100,120705,180000,4,115,
20,100,100,121281,210000,4,98,
20,100,101,126750,330000,5,112,
20,100,101,126750,330000,5,112,
20,100,119,150000,180000,5,117,
20,100,105,150000,270000,5,104,
20,100,105,150000,270000,5,104,
20,100,114,150000,203641,5,126,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,63.8306451613,76551.4112903226,173814.620967742,6.2741935484,101.2741935484,0.1086956522
