Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,390618,3,109,
8,100,20,60000,422283,10,92,
8,100,23,60000,368556,13,88,
8,100,23,60000,366647,6,96,
8,100,24,60000,339793,14,87,
8,100,26,69522,540000,8,95,
8,100,28,65085,350601,11,94,
8,100,31,90000,366974,7,96,
8,100,31,90000,338348,14,88,
8,100,33,94566,360000,9,95,
8,100,33,90919,376988,11,98,
8,100,33,92027,477816,5,98,
8,100,33,91652,360000,5,98,
8,100,35,120000,390000,8,96,
8,100,37,120000,480000,6,97,
8,100,38,120000,423645,4,100,
8,100,38,120000,371339,8,95,
8,100,40,120503,374979,4,97,
8,100,41,126619,720000,5,101,
8,100,42,125290,394870,10,98,
8,100,42,123530,390000,9,95,
8,100,42,123530,390000,9,95,
8,100,43,150000,421599,7,98,
8,100,43,150000,403481,4,98,
8,100,43,144578,510000,7,104,
8,100,48,151285,360000,8,93,
8,100,48,151285,360000,8,93,
8,100,48,150000,390000,9,99,
8,100,49,152745,402985,8,97,
8,100,50,158139,510000,6,95,
8,100,50,158139,510000,6,95,
8,100,50,164170,392359,9,98,
8,100,50,175549,409138,4,102,
8,100,51,180000,463187,7,96,
8,100,51,180000,390000,4,102,
8,100,51,180000,367059,11,95,
8,100,52,180000,464009,8,96,
8,100,53,180000,390000,9,92,
8,100,55,180000,380287,7,100,
8,100,56,190449,443892,5,100,
8,100,56,180000,580860,6,97,
8,100,56,184927,403095,7,106,
8,100,57,207188,390000,10,94,
8,100,57,181649,376785,6,97,
8,100,57,195002,390000,4,102,
8,100,57,182653,420000,6,103,
8,100,59,210000,422172,7,100,
8,100,60,210000,450000,7,101,
8,100,61,210000,450661,7,100,
8,100,61,210000,444872,7,102,
8,100,63,210000,480000,5,99,
8,100,63,210000,545219,6,101,
8,100,63,210000,420000,5,100,
8,100,63,210000,420000,6,111,
8,100,64,213622,370123,5,101,
8,100,64,210768,390000,5,103,
8,100,67,240000,511997,6,105,
8,100,72,245716,510000,6,96,
8,100,72,240630,491901,6,101,
8,100,75,244818,451525,6,98,
8,100,78,270000,390000,5,103,
8,100,81,275086,415490,4,105,
8,100,83,300000,590719,4,111,
8,100,84,300000,450000,6,105,
8,100,85,300000,829115,4,113,
8,100,90,324417,570000,5,112,
8,100,96,330000,611424,4,103,
8,100,96,330000,427992,5,117,
8,100,99,360000,480000,4,101,
8,100,100,360000,595811,5,113,
8,100,107,390000,1020000,4,113,
,,,,,,,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,54.7142857143,182086.542857143,449579.942857143,6.8,99.5,0.4375
