Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,0,0,30000,0,10,
8,100,461,1647016,3906590,60,942,
8,100,517,1846219,3723522,56,949,
8,100,524,1865950,3692077,57,946,
8,100,526,1874766,3628661,62,940,
8,100,527,1877896,3617481,50,952,
8,100,531,1890508,3730434,56,948,
8,100,536,1910219,3626042,60,946,
8,100,547,1949451,3606896,58,945,
8,100,553,1968512,3641072,55,950,
8,100,560,2006382,3670780,62,940,
8,100,561,2003222,3660830,58,943,
8,100,570,2034502,3593310,56,945,
8,100,570,2051204,3632122,51,954,
8,100,581,2086161,3679248,64,942,
8,100,584,2105116,3660171,61,945,
8,100,587,2095633,3659143,58,948,
8,100,587,2094702,3701916,65,937,
8,100,588,2109778,3646823,60,946,
8,100,592,2139367,3851550,57,950,
8,100,598,2133911,3610020,53,949,
8,100,603,2170768,3733883,55,948,
8,100,603,2171514,3740973,56,945,
8,100,605,2166259,3640480,51,953,
8,100,607,2181953,3710156,50,953,
8,100,608,2173845,3664394,57,950,
8,100,613,2203371,3683553,52,949,
8,100,622,2223919,3622842,50,952,
8,100,623,2239692,3635847,50,956,
8,100,625,2240843,3684045,56,950,
8,100,625,2248830,3630350,45,956,
8,100,626,2257375,3700014,47,957,
8,100,627,2268331,3659094,47,955,
8,100,632,2263594,4071819,51,955,
8,100,633,2275814,3655073,64,939,
8,100,633,2285536,3921790,53,950,
8,100,645,2325223,3674947,49,959,
8,100,649,2344326,3637970,49,954,
8,100,650,2340584,3602659,55,948,
8,100,650,2344290,3702852,51,953,
8,100,656,2371979,3640135,47,956,
8,100,662,2373745,3617965,56,949,
8,100,666,2408917,3741679,45,958,
8,100,668,2417200,3655548,49,956,
8,100,675,2429949,3646124,53,952,
8,100,676,2449567,3655542,58,947,
8,100,676,2443658,3645836,49,953,
8,100,677,2446074,3649630,47,954,
8,100,681,2449605,3664840,42,960,
8,100,682,2487766,3847281,50,956,
8,100,684,2486486,3717817,49,955,
8,100,690,2500514,3605998,56,945,
8,100,696,2521920,3625181,57,949,
8,100,697,2518385,3684042,49,952,
8,100,701,2551867,3825032,44,957,
8,100,705,2550168,3662988,49,956,
8,100,706,2554845,3673230,50,952,
8,100,708,2558533,3698907,60,942,
8,100,710,2566821,3611246,48,953,
8,100,712,2581387,3701092,41,967,
8,100,713,2588479,3646452,53,952,
8,100,716,2597020,3641526,51,953,
8,100,721,2621331,3662444,51,950,
8,100,721,2619889,3667494,43,961,
8,100,721,2608590,3698342,45,961,
8,100,726,2634570,3668691,47,960,
8,100,728,2629518,3635054,47,956,
8,100,737,2673430,3663578,47,958,
8,100,748,2719422,3692483,43,966,
8,100,749,2736736,3726830,42,964,
8,100,756,2740214,3690071,43,964,
8,100,777,2821985,3812084,40,966,
8,100,778,2823031,3755173,43,959,
8,100,782,2843784,3682493,47,967,
8,100,825,3016614,3795078,42,962,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
8,100,251.7882882883,778449.936936937,2007782.97747748,2007584.44144144,1229701.04504505,0.3153153153
