Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,0,0,150000,1,101,
20,100,0,0,150000,1,100,
20,100,0,0,330000,3,222,
20,100,239,330000,759942,35,466,
20,100,344,482377,747550,21,485,
20,100,280,390000,728590,23,483,
20,100,217,300000,792305,26,478,
20,100,281,390000,720000,26,480,
20,100,341,480000,750000,27,482,
20,100,338,480000,729393,26,481,
20,100,267,363328,722279,25,481,
20,100,296,420000,723253,30,474,
20,100,231,318914,726064,31,470,
20,100,345,480710,726125,24,483,
20,100,327,455024,720000,23,478,
20,100,363,510000,720000,25,478,
20,100,321,450000,721559,26,475,
20,100,320,450000,759065,18,495,
20,100,245,339689,810608,27,478,
20,100,280,390000,762867,27,475,
20,100,386,543360,780000,18,487,
20,100,356,510000,750000,23,489,
20,100,410,582334,750000,17,493,
20,100,234,316787,720000,23,480,
20,100,195,270000,723813,27,474,
20,100,314,450000,791134,26,486,
20,100,398,570000,750000,20,482,
20,100,322,453098,759594,22,480,
20,100,276,390000,726911,29,473,
20,100,372,537208,728434,24,487,
20,100,227,305573,769706,29,477,
20,100,396,570000,750000,19,483,
20,100,304,420517,739924,30,475,
20,100,430,627206,720000,16,485,
20,100,235,330000,750000,33,470,
20,100,241,330000,739760,33,469,
20,100,356,510000,750000,19,486,
20,100,356,510000,750000,19,486,
20,100,326,460276,720506,19,484,
20,100,246,331864,725675,31,472,
20,100,325,450633,761620,21,488,
20,100,293,420000,721432,27,477,
20,100,397,570000,721231,20,484,
20,100,360,510000,736825,21,484,
20,100,341,480776,783330,25,484,
20,100,328,459311,720000,24,478,
20,100,344,480502,810000,27,480,
20,100,320,450000,750000,23,487,
20,100,230,306304,739005,29,473,
20,100,287,399641,727618,27,476,
20,100,270,375240,767773,28,474,
20,100,213,298606,720000,29,477,
20,100,305,421532,780000,22,482,
20,100,257,360000,747823,31,471,
20,100,260,360000,723240,29,481,
20,100,294,420000,750000,25,480,
20,100,274,381791,757798,34,469,
20,100,330,465980,750000,19,494,
20,100,277,390000,730422,31,478,
20,100,468,674303,793322,15,500,
20,100,262,360000,720000,23,478,
20,100,232,309374,727119,36,467,
20,100,230,327415,752405,27,484,
20,100,224,300000,787280,34,467,
20,100,291,409467,720000,22,481,
20,100,238,330000,701547,40,461,
20,100,350,507344,780000,24,484,
20,100,294,420000,760576,30,482,
20,100,271,381059,720000,21,482,
20,100,332,480000,753012,19,487,
20,100,343,481567,750000,21,491,
20,100,349,484725,780000,18,487,
20,100,272,387140,811452,28,477,
20,100,249,339236,720000,30,474,
20,100,319,450000,759190,24,478,
20,100,463,660757,788625,17,504,
20,100,298,420000,754458,26,478,
20,100,320,450000,720500,27,479,
20,100,286,396157,724751,28,476,
20,100,329,471690,750000,25,486,
20,100,267,371387,750501,24,478,
20,100,269,379655,769509,23,478,
20,100,304,422550,780000,28,478,
20,100,271,367914,723894,24,479,
20,100,292,413989,822244,35,472,
20,100,330,474472,748866,24,482,
20,100,261,360000,720000,36,467,
20,100,261,360000,720000,36,467,
20,100,240,330000,750000,22,482,
20,100,305,426867,840000,26,476,
20,100,328,460237,739581,28,485,
20,100,257,360000,739392,32,470,
20,100,280,390000,720000,29,481,
20,100,250,348956,815084,25,478,
20,100,375,540000,762354,18,493,
20,100,277,390000,720000,26,475,
20,100,248,334838,714905,34,471,
20,100,291,413391,751535,25,478,
20,100,448,635991,780000,24,481,
20,100,292,417598,732331,26,480,
20,100,319,450000,730752,22,482,
20,100,364,510710,726500,18,491,
20,100,365,513036,727357,22,484,
20,100,277,390000,745228,26,476,
20,100,380,540000,750000,17,490,
20,100,303,420000,720000,31,473,
20,100,427,621278,750000,17,487,
20,100,326,457548,740234,25,483,
20,100,285,394071,738531,23,478,
20,100,338,480000,750000,22,488,
20,100,321,450000,720381,24,477,
20,100,363,511803,757879,21,485,
20,100,214,300000,720000,32,473,
20,100,387,548139,741749,27,485,
20,100,388,557366,810000,17,494,
20,100,303,420000,732280,25,483,
20,100,301,420000,750000,27,480,
20,100,257,360000,723038,34,473,
20,100,240,330000,722923,27,477,
20,100,263,360000,840000,26,476,
20,100,222,300000,852410,26,479,
20,100,238,330000,720729,30,478,
20,100,312,450000,729164,26,477,
20,100,287,395917,750000,26,475,
20,100,399,570000,780000,20,491,
20,100,373,540000,751380,18,492,
20,100,324,452423,758309,25,485,
20,100,309,430733,750971,24,485,
,,,,,,,
Number of connections ,Avg. size Node list recieved  ,Number of nodes queried to find all nodes ,Time taken to find all nodes ,  Time take to test all nodes if online ,Number of nodes online,Number of nodes offline,Failure %
20,100,306.7096774194,431126.483870968,748528.064516129,25.2580645161,480.3387096774,0.023255814
